acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,compensation,coordinates,correct,correct_display_selecting,correct_welcome,count_A,count_B,count_ISI,count_X,count_break,count_determine_break,count_display_listening,count_display_selecting,count_experiment,count_finished,count_getting_started,count_new_inline_script,count_new_logger,count_new_loop,count_new_sequence,count_plain_block,count_setup_breaks,count_wait_nextitem,count_welcome,datetime,delay_ISI,delay_wait_nextitem,description,disable_garbage_collection,empty_column,experiment_file,experiment_path,flip_order,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,live_row,live_row_plain_block,logfile,opensesame_codename,opensesame_version,play1,play2,play3,repeat_cycle,response,response_break,response_display_selecting,response_finished,response_time,response_time_break,response_time_display_selecting,response_time_finished,response_time_welcome,response_welcome,round_decimals,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimA,stimB,stimX,subject_nr,subject_parity,time_A,time_B,time_ISI,time_X,time_break,time_determine_break,time_display_listening,time_display_selecting,time_experiment,time_finished,time_getting_started,time_new_inline_script,time_new_logger,time_new_loop,time_new_sequence,time_plain_block,time_setup_breaks,time_wait_nextitem,time_welcome,title,to_break,total_correct,total_response_time,total_responses,uniform_coordinates,width
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,0,0,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,3.1.3.wav,3.1.3.wav,3.1.1.wav,0,1,NA,1,NA,3156,NA,3156,NA,4552761,i,2,1024,2,48000,-16,experiment,3.1.1.wav,3.1.3.wav,3.1.3.wav,106,even,4554943,4557427,4556927,4556181,NA,NA,4553942,4558179,1060,NA,NA,4553940,4561335,NA,4553940,4553825,NA,4553943,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,1,1,3,1,1,NA,1,1,0,0,0,1,1,0,1,0,NA,1,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,1,1,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,2.2.3.wav,2.2.3.wav,2.2.1.wav,0,1,NA,1,NA,771,NA,771,NA,4552761,i,2,1024,2,48000,-16,experiment,2.2.1.wav,2.2.3.wav,2.2.3.wav,106,even,4562650,4565128,4564628,4563911,NA,NA,4561650,4565867,1060,NA,NA,4561647,4566639,NA,4561647,4553825,NA,4561650,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,2,2,5,2,2,NA,2,2,0,0,0,2,2,0,2,0,NA,2,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,2,2,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,4.2.3.wav,4.2.1.wav,4.2.1.wav,0,1,NA,3,NA,821,NA,821,NA,4552761,i,2,1024,2,48000,-16,experiment,4.2.1.wav,4.2.3.wav,4.2.1.wav,106,even,4567834,4570317,4569817,4569094,NA,NA,4566834,4571034,1060,NA,NA,4566832,4571855,NA,4566832,4553825,NA,4566834,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,3,3,7,3,3,NA,3,3,0,0,0,3,3,0,3,0,NA,3,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,no,no,mono,no,18,no,white,no,yes,768,3,3,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,4.1.3.wav,4.1.3.wav,4.1.5.wav,0,1,NA,1,NA,2751,NA,2751,NA,4552761,i,2,1024,2,48000,-16,experiment,4.1.3.wav,4.1.5.wav,4.1.3.wav,106,even,4573064,4575516,4575016,4574300,NA,NA,4572063,4576240,1060,NA,NA,4572060,4578991,NA,4572060,4553825,NA,4572064,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,4,4,9,4,4,NA,4,4,0,0,0,4,4,0,4,0,NA,4,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,4,4,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,3.1.5.wav,3.1.3.wav,3.1.3.wav,0,0,NA,0,NA,2216,NA,2216,NA,4552761,i,2,1024,2,48000,-16,experiment,3.1.3.wav,3.1.5.wav,3.1.3.wav,106,even,4580145,4582674,4582174,4581432,NA,NA,4579144,4583429,1060,NA,NA,4579141,4585646,NA,4579141,4553825,NA,4579145,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,5,5,11,5,5,NA,5,5,0,0,0,5,5,0,5,0,NA,5,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,no,no,mono,no,18,no,white,no,yes,768,5,5,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,1,NA,1,NA,2295,NA,2295,NA,4552761,i,2,1024,2,48000,-16,experiment,5.2.3.wav,5.2.5.wav,5.2.5.wav,106,even,4586804,4589259,4588759,4588037,NA,NA,4585804,4590014,1060,NA,NA,4585802,4592309,NA,4585802,4553825,NA,4585804,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,6,6,13,6,6,NA,6,6,0,0,0,6,6,0,6,0,NA,6,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,6,6,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,2.2.3.wav,2.2.1.wav,2.2.1.wav,0,0,NA,0,NA,886,NA,886,NA,4552761,i,2,1024,2,48000,-16,experiment,2.2.1.wav,2.2.3.wav,2.2.1.wav,106,even,4593459,4595931,4595431,4594678,NA,NA,4592459,4596654,1060,NA,NA,4592456,4597541,NA,4592456,4553825,NA,4592459,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,7,7,15,7,7,NA,7,7,0,0,0,7,7,0,7,0,NA,7,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,7,7,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,4.2.4.wav,4.2.2.wav,4.2.2.wav,0,0,NA,0,NA,540,NA,540,NA,4552761,i,2,1024,2,48000,-16,experiment,4.2.2.wav,4.2.4.wav,4.2.2.wav,106,even,4598725,4601177,4600677,4599946,NA,NA,4597725,4601896,1060,NA,NA,4597722,4602436,NA,4597722,4553825,NA,4597725,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,8,8,17,8,8,NA,8,8,0,0,0,8,8,0,8,0,NA,8,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,yes,no,mono,no,18,no,white,no,yes,768,8,8,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,4.2.5.wav,4.2.3.wav,4.2.3.wav,0,0,NA,0,NA,624,NA,624,NA,4552761,i,2,1024,2,48000,-16,experiment,4.2.3.wav,4.2.5.wav,4.2.3.wav,106,even,4603625,4606154,4605654,4604890,NA,NA,4602625,4606916,1060,NA,NA,4602623,4607540,NA,4602623,4553825,NA,4602625,1063,New experiment,NA,0,0,0,yes,1024
undefined,undefined,undefined,undefined,black,no,legacy,0,uniform,undefined,undefined,undefined,9,9,19,9,9,NA,9,9,0,0,0,9,9,0,9,0,NA,9,0,Fri 14 Jun 2019 11:51:46 AM PDT,500,1000,The main experiment item,yes,NA,ABX_v3.osexp,/home/ubuntu/Desktop/panara,no,no,mono,no,18,no,white,no,yes,768,9,9,/home/ubuntu/Desktop/panara/subject-106.csv,Jazzy James,3.1.3,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,0,NA,0,NA,480,NA,480,NA,4552761,i,2,1024,2,48000,-16,experiment,1.1.3.wav,1.1.5.wav,1.1.5.wav,106,even,4608737,4611317,4610817,4610043,NA,NA,4607737,4612099,1060,NA,NA,4607734,4612580,NA,4607734,4553825,NA,4607737,1063,New experiment,NA,0,0,0,yes,1024
