,A,B,X,flip_order,order,repeats,response,subject
0,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,0,5,l,Apiaka
1,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,1,1,f,Apiaka
2,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,2,3,f,Apiaka
3,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,3,1,l,Apiaka
4,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,4,1,f,Apiaka
5,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,5,1,l,Apiaka
6,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,6,1,f,Apiaka
7,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,7,1,l,Apiaka
8,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,8,1,f,Apiaka
9,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,9,1,l,Apiaka
10,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,10,1,f,Apiaka
11,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,11,1,l,Apiaka
12,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,12,1,f,Apiaka
13,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,13,1,l,Apiaka
14,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,14,1,f,Apiaka
15,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,15,1,l,Apiaka
16,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,16,1,f,Apiaka
17,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,17,1,l,Apiaka
18,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,18,1,f,Apiaka
19,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,19,1,l,Apiaka
20,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,20,1,f,Apiaka
21,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,21,1,l,Apiaka
22,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,22,1,f,Apiaka
23,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,23,1,l,Apiaka
24,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,24,1,f,Apiaka
25,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,25,1,l,Apiaka
26,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,26,1,f,Apiaka
27,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,27,1,l,Apiaka
28,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,28,1,f,Apiaka
29,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,29,1,l,Apiaka
30,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,30,1,f,Apiaka
31,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,31,1,l,Apiaka
32,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,32,1,f,Apiaka
33,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,33,1,l,Apiaka
34,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,34,1,f,Apiaka
35,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,35,1,l,Apiaka
36,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,36,1,f,Apiaka
37,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,37,1,l,Apiaka
38,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,38,1,f,Apiaka
39,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,39,1,l,Apiaka
40,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,40,1,f,Apiaka
41,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,41,1,l,Apiaka
42,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,42,1,f,Apiaka
43,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,43,1,l,Apiaka
44,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,44,1,f,Apiaka
45,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,45,1,l,Apiaka
46,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,46,1,f,Apiaka
47,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,47,1,l,Apiaka
48,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,48,1,f,Apiaka
49,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,49,1,l,Apiaka
50,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,50,1,f,Apiaka
51,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,51,1,l,Apiaka
52,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,52,1,f,Apiaka
53,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,53,1,l,Apiaka
54,2.1.3.wav,1.1.5.wav,1.1.3.wav,0,54,1,f,Apiaka
55,3.1.2.wav,1.1.4.wav,3.1.4.wav,0,55,1,l,Apiaka
56,2.2.2.wav,1.2.4.wav,2.2.4.wav,0,56,1,f,Apiaka
57,2.2.1.wav,1.2.3.wav,2.2.3.wav,0,57,1,l,Apiaka
58,2.2.1.wav,2.1.3.wav,2.1.1.wav,0,58,1,f,Apiaka
59,4.2.2.wav,4.1.4.wav,4.1.2.wav,1,59,1,l,Apiaka
60,4.1.2.wav,2.1.4.wav,4.1.4.wav,0,60,1,f,Apiaka
61,4.1.2.wav,2.1.4.wav,2.1.2.wav,1,61,1,l,Apiaka
62,4.1.1.wav,4.2.3.wav,4.1.3.wav,1,62,1,f,Apiaka
63,2.1.3.wav,2.2.5.wav,2.1.5.wav,0,63,1,l,Apiaka
64,2.2.2.wav,4.2.4.wav,2.2.4.wav,1,64,1,f,Apiaka
65,2.1.1.wav,4.1.3.wav,4.1.1.wav,0,65,1,l,Apiaka
66,3.2.1.wav,1.2.3.wav,1.2.1.wav,0,66,1,f,Apiaka
67,4.2.2.wav,3.2.4.wav,3.2.2.wav,1,67,1,l,Apiaka
68,4.2.1.wav,3.2.3.wav,4.2.3.wav,1,68,1,f,Apiaka
69,3.1.2.wav,3.2.4.wav,3.2.2.wav,0,69,1,l,Apiaka
70,2.2.2.wav,4.2.4.wav,4.2.2.wav,0,70,1,f,Apiaka
71,2.2.2.wav,1.2.4.wav,1.2.2.wav,1,71,1,l,Apiaka
72,1.2.3.wav,2.2.5.wav,1.2.5.wav,0,72,1,f,Apiaka
73,3.2.3.wav,3.1.5.wav,3.2.5.wav,0,73,1,l,Apiaka
74,2.2.2.wav,2.1.4.wav,2.2.4.wav,0,74,1,f,Apiaka
75,4.2.1.wav,4.1.3.wav,4.2.3.wav,1,75,1,l,Apiaka
76,3.1.2.wav,3.2.4.wav,3.1.4.wav,0,76,1,f,Apiaka
77,3.2.3.wav,4.2.5.wav,4.2.3.wav,0,77,1,l,Apiaka
78,3.2.3.wav,4.2.5.wav,3.2.5.wav,1,78,1,f,Apiaka
79,3.2.2.wav,3.1.4.wav,3.2.4.wav,1,79,1,l,Apiaka
80,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,80,1,f,Apiaka
81,3.1.1.wav,4.1.3.wav,3.1.3.wav,1,81,1,l,Apiaka
82,4.1.3.wav,4.2.5.wav,4.2.3.wav,0,82,1,f,Apiaka
83,2.1.2.wav,2.2.4.wav,2.2.2.wav,0,83,1,l,Apiaka
84,1.2.3.wav,1.1.5.wav,1.1.3.wav,1,84,1,f,Apiaka
85,3.1.2.wav,4.1.4.wav,3.1.4.wav,1,85,1,l,Apiaka
86,1.2.2.wav,3.2.4.wav,1.2.4.wav,0,86,1,f,Apiaka
87,2.1.2.wav,1.1.4.wav,1.1.2.wav,0,87,1,l,Apiaka
88,4.2.3.wav,4.1.5.wav,4.2.5.wav,1,88,1,f,Apiaka
89,2.1.2.wav,4.1.4.wav,2.1.4.wav,1,89,1,l,Apiaka
90,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,90,1,f,Apiaka
91,3.1.3.wav,1.1.5.wav,3.1.5.wav,1,91,1,l,Apiaka
92,1.2.1.wav,3.2.3.wav,3.2.1.wav,0,92,1,f,Apiaka
93,1.1.3.wav,1.2.5.wav,1.2.3.wav,0,93,1,l,Apiaka
94,1.1.2.wav,3.1.4.wav,3.1.2.wav,1,94,1,f,Apiaka
95,4.2.2.wav,3.2.4.wav,4.2.4.wav,1,95,1,l,Apiaka
96,2.2.3.wav,4.2.5.wav,4.2.3.wav,1,96,1,f,Apiaka
97,2.2.3.wav,4.2.5.wav,2.2.5.wav,0,97,1,l,Apiaka
98,4.2.3.wav,2.2.5.wav,2.2.3.wav,1,98,1,f,Apiaka
99,4.2.2.wav,2.2.4.wav,2.2.2.wav,0,99,1,l,Apiaka
100,2.2.2.wav,2.1.4.wav,2.1.2.wav,1,100,1,f,Apiaka
101,1.2.3.wav,2.2.5.wav,2.2.3.wav,1,101,1,l,Apiaka
102,3.1.1.wav,4.1.3.wav,4.1.1.wav,1,102,1,f,Apiaka
103,2.1.3.wav,2.2.5.wav,2.2.3.wav,1,103,1,l,Apiaka
104,3.2.1.wav,1.2.3.wav,3.2.3.wav,0,104,1,f,Apiaka
105,3.2.2.wav,1.2.4.wav,3.2.4.wav,0,105,1,l,Apiaka
106,2.1.2.wav,1.1.4.wav,2.1.4.wav,1,106,1,f,Apiaka
107,3.1.2.wav,1.1.4.wav,1.1.2.wav,1,107,1,l,Apiaka
108,2.1.1.wav,1.1.3.wav,1.1.1.wav,1,108,1,f,Apiaka
109,1.1.3.wav,2.1.5.wav,2.1.3.wav,0,109,1,l,Apiaka
110,2.1.3.wav,1.1.5.wav,2.1.5.wav,0,110,1,f,Apiaka
111,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,111,1,l,Apiaka
112,3.2.3.wav,1.2.5.wav,3.2.5.wav,1,112,1,f,Apiaka
113,4.1.2.wav,4.2.4.wav,4.1.4.wav,0,113,1,l,Apiaka
114,1.1.1.wav,1.2.3.wav,1.2.1.wav,1,114,1,f,Apiaka
115,3.1.2.wav,4.1.4.wav,4.1.2.wav,0,115,1,l,Apiaka
116,4.1.1.wav,3.1.3.wav,3.1.1.wav,0,116,1,f,Apiaka
117,1.1.1.wav,3.1.3.wav,1.1.3.wav,1,117,1,l,Apiaka
118,3.2.3.wav,1.2.5.wav,1.2.3.wav,0,118,1,f,Apiaka
119,2.1.1.wav,2.2.3.wav,2.1.3.wav,1,119,1,l,Apiaka
120,3.2.2.wav,3.1.4.wav,3.1.2.wav,1,120,1,f,Apiaka
121,3.1.3.wav,3.2.5.wav,3.1.5.wav,0,121,1,l,Apiaka
122,4.2.3.wav,4.1.5.wav,4.1.3.wav,0,122,1,f,Apiaka
123,2.2.1.wav,2.1.3.wav,2.2.3.wav,1,123,1,l,Apiaka
124,4.1.3.wav,3.1.5.wav,4.1.5.wav,1,124,1,f,Apiaka
125,3.1.3.wav,4.1.5.wav,4.1.3.wav,1,125,1,l,Apiaka
126,3.1.1.wav,3.2.3.wav,3.1.3.wav,1,126,1,f,Apiaka
127,1.2.3.wav,3.2.5.wav,1.2.5.wav,0,127,1,l,Apiaka
128,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,128,1,f,Apiaka
129,4.2.2.wav,4.1.4.wav,4.2.4.wav,0,129,1,f,Apiaka
130,4.2.1.wav,2.2.3.wav,2.2.1.wav,0,130,1,l,Apiaka
131,1.2.2.wav,1.1.4.wav,1.1.2.wav,0,131,1,f,Apiaka
132,1.1.3.wav,2.1.5.wav,1.1.5.wav,1,132,1,l,Apiaka
133,3.2.1.wav,3.1.3.wav,3.2.3.wav,1,133,1,f,Apiaka
134,2.1.3.wav,4.1.5.wav,2.1.5.wav,1,134,1,l,Apiaka
135,3.2.1.wav,4.2.3.wav,4.2.1.wav,1,135,1,l,Apiaka
136,1.1.2.wav,3.1.4.wav,1.1.4.wav,1,136,1,l,Apiaka
137,4.2.1.wav,3.2.3.wav,3.2.1.wav,1,137,1,f,Apiaka
138,1.1.1.wav,1.2.3.wav,1.1.3.wav,1,138,1,l,Apiaka
