,A,B,X,flip_order,order,repeats,response,subject
0,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,0,2,f,Jopy
1,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,1,1,l,Jopy
2,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,2,2,f,Jopy
3,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,3,1,f,Jopy
4,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,4,1,f,Jopy
5,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,5,1,f,Jopy
6,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,6,1,f,Jopy
7,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,7,1,f,Jopy
8,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,8,1,l,Jopy
9,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,9,1,l,Jopy
10,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,10,1,f,Jopy
11,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,11,1,l,Jopy
12,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,12,1,l,Jopy
13,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,13,1,f,Jopy
14,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,14,1,l,Jopy
15,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,15,1,f,Jopy
16,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,16,1,l,Jopy
17,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,17,1,l,Jopy
18,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,18,1,f,Jopy
19,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,19,1,l,Jopy
20,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,20,1,l,Jopy
21,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,21,1,f,Jopy
22,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,22,1,l,Jopy
23,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,23,1,l,Jopy
24,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,24,1,f,Jopy
25,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,25,1,l,Jopy
26,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,26,1,f,Jopy
27,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,27,1,l,Jopy
28,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,28,1,f,Jopy
29,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,29,1,l,Jopy
30,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,30,1,f,Jopy
31,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,31,1,l,Jopy
32,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,32,1,f,Jopy
33,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,33,1,l,Jopy
34,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,34,1,f,Jopy
35,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,35,1,l,Jopy
36,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,36,1,f,Jopy
37,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,37,1,l,Jopy
38,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,38,1,f,Jopy
39,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,39,1,l,Jopy
40,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,40,1,f,Jopy
41,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,41,1,l,Jopy
42,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,42,1,l,Jopy
43,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,43,1,f,Jopy
44,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,44,1,l,Jopy
45,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,45,1,f,Jopy
46,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,46,1,l,Jopy
47,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,47,1,f,Jopy
48,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,48,1,l,Jopy
49,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,49,1,f,Jopy
50,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,50,1,l,Jopy
