,A,B,X,flip_order,order,repeats,response,subject
0,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,0,1,f,Josin
1,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,1,1,l,Josin
2,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,2,1,f,Josin
3,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,3,1,f,Josin
4,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,4,1,f,Josin
5,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,5,1,f,Josin
6,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,6,1,f,Josin
7,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,7,1,l,Josin
8,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,8,1,l,Josin
9,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,9,1,l,Josin
10,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,10,1,l,Josin
11,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,11,1,f,Josin
12,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,12,1,l,Josin
13,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,13,1,f,Josin
14,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,14,1,f,Josin
15,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,15,2,f,Josin
16,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,16,2,l,Josin
17,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,17,2,l,Josin
18,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,18,1,f,Josin
19,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,19,1,l,Josin
20,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,20,2,f,Josin
21,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,21,1,l,Josin
22,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,22,1,l,Josin
23,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,23,2,f,Josin
