,A,B,X,flip_order,order,repeats,response,subject
0,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,0,2,f,Jotikja
1,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,1,2,f,Jotikja
2,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,2,2,f,Jotikja
3,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,3,1,f,Jotikja
4,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,4,2,f,Jotikja
5,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,5,1,f,Jotikja
6,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,6,2,f,Jotikja
7,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,7,2,f,Jotikja
8,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,8,1,f,Jotikja
9,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,9,1,f,Jotikja
10,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,10,2,f,Jotikja
11,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,11,2,l,Jotikja
12,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,12,2,l,Jotikja
13,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,13,2,l,Jotikja
14,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,14,1,f,Jotikja
15,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,15,1,l,Jotikja
16,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,16,1,f,Jotikja
17,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,17,1,f,Jotikja
18,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,18,1,f,Jotikja
19,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,19,2,f,Jotikja
20,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,20,2,f,Jotikja
21,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,21,2,f,Jotikja
22,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,22,1,f,Jotikja
23,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,23,1,l,Jotikja
24,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,24,1,l,Jotikja
25,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,25,1,f,Jotikja
26,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,26,1,f,Jotikja
27,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,27,1,l,Jotikja
28,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,28,2,l,Jotikja
29,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,29,1,f,Jotikja
30,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,30,1,f,Jotikja
