,A,B,X,flip_order,order,repeats,response,subject
0,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,0,7,l,Kankoo
1,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,1,1,l,Kankoo
2,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,2,1,l,Kankoo
3,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,3,1,l,Kankoo
4,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,4,1,l,Kankoo
5,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,5,1,l,Kankoo
6,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,6,1,l,Kankoo
7,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,7,1,l,Kankoo
8,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,8,1,l,Kankoo
9,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,9,1,f,Kankoo
10,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,10,1,f,Kankoo
11,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,11,1,f,Kankoo
12,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,12,1,f,Kankoo
13,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,13,1,f,Kankoo
14,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,14,1,f,Kankoo
15,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,15,1,f,Kankoo
16,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,16,1,f,Kankoo
17,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,17,1,f,Kankoo
18,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,18,1,f,Kankoo
19,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,19,1,f,Kankoo
20,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,20,1,f,Kankoo
21,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,21,1,f,Kankoo
22,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,22,1,f,Kankoo
23,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,23,1,f,Kankoo
24,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,24,1,f,Kankoo
25,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,25,1,f,Kankoo
26,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,26,1,f,Kankoo
27,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,27,1,f,Kankoo
28,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,28,1,f,Kankoo
29,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,29,1,f,Kankoo
30,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,30,1,f,Kankoo
31,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,31,1,f,Kankoo
32,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,32,1,f,Kankoo
33,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,33,1,f,Kankoo
34,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,34,1,f,Kankoo
35,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,35,1,f,Kankoo
36,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,36,1,f,Kankoo
37,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,37,1,f,Kankoo
38,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,38,1,f,Kankoo
39,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,39,1,f,Kankoo
40,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,40,1,f,Kankoo
41,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,41,1,f,Kankoo
42,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,42,1,l,Kankoo
43,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,43,1,l,Kankoo
44,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,44,1,l,Kankoo
45,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,45,1,l,Kankoo
46,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,46,1,f,Kankoo
47,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,47,1,l,Kankoo
48,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,48,1,l,Kankoo
