,A,B,X,flip_order,order,repeats,response,subject
0,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,0,2,f,Kape
1,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,1,2,l,Kape
2,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,2,1,f,Kape
3,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,3,2,l,Kape
4,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,4,1,f,Kape
5,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,5,1,l,Kape
6,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,6,1,f,Kape
7,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,7,1,l,Kape
8,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,8,1,l,Kape
9,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,9,1,l,Kape
10,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,10,1,f,Kape
11,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,11,1,l,Kape
12,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,12,1,f,Kape
13,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,13,1,f,Kape
14,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,14,1,l,Kape
15,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,15,1,f,Kape
16,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,16,1,l,Kape
17,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,17,1,f,Kape
18,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,18,1,l,Kape
19,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,19,1,f,Kape
20,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,20,1,l,Kape
21,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,21,1,l,Kape
22,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,22,1,f,Kape
23,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,23,1,f,Kape
24,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,24,1,l,Kape
25,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,25,1,l,Kape
26,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,26,1,f,Kape
27,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,27,1,l,Kape
28,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,28,2,l,Kape
29,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,29,1,f,Kape
30,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,30,1,l,Kape
31,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,31,1,l,Kape
32,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,32,1,f,Kape
33,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,33,1,l,Kape
