,A,B,X,flip_order,order,repeats,response,subject
0,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,0,2,f,Kapitao
1,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,1,1,f,Kapitao
2,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,2,2,f,Kapitao
3,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,3,2,l,Kapitao
4,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,4,3,l,Kapitao
5,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,5,3,f,Kapitao
6,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,6,2,f,Kapitao
7,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,7,2,f,Kapitao
8,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,8,2,l,Kapitao
9,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,9,3,l,Kapitao
10,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,10,1,f,Kapitao
11,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,11,2,l,Kapitao
12,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,12,1,l,Kapitao
13,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,13,2,f,Kapitao
14,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,14,4,f,Kapitao
15,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,15,1,l,Kapitao
16,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,16,1,l,Kapitao
17,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,17,1,f,Kapitao
18,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,18,1,f,Kapitao
19,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,19,3,f,Kapitao
20,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,20,3,l,Kapitao
21,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,21,2,l,Kapitao
22,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,22,3,f,Kapitao
23,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,23,3,f,Kapitao
24,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,24,3,f,Kapitao
25,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,25,1,l,Kapitao
26,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,26,3,f,Kapitao
27,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,27,3,f,Kapitao
28,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,28,4,l,Kapitao
29,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,29,1,l,Kapitao
30,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,30,1,f,Kapitao
31,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,31,2,f,Kapitao
32,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,32,2,l,Kapitao
33,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,33,5,f,Kapitao
34,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,34,2,l,Kapitao
35,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,35,2,l,Kapitao
36,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,36,3,l,Kapitao
37,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,37,1,f,Kapitao
38,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,38,2,f,Kapitao
39,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,39,2,f,Kapitao
40,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,40,3,l,Kapitao
41,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,41,2,l,Kapitao
42,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,42,5,f,Kapitao
43,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,43,1,f,Kapitao
44,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,44,2,l,Kapitao
45,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,45,1,l,Kapitao
46,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,46,1,f,Kapitao
47,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,47,2,f,Kapitao
48,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,48,3,l,Kapitao
49,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,49,3,f,Kapitao
50,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,50,7,f,Kapitao
51,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,51,3,f,Kapitao
52,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,52,5,l,Kapitao
53,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,53,3,l,Kapitao
54,1.1.1.wav,1.2.3.wav,1.1.3.wav,1,54,1,f,Kapitao
55,3.1.1.wav,1.1.3.wav,1.1.1.wav,1,55,1,f,Kapitao
56,3.2.1.wav,3.1.3.wav,3.2.3.wav,0,56,2,f,Kapitao
57,2.2.3.wav,1.2.5.wav,1.2.3.wav,1,57,3,l,Kapitao
58,4.1.1.wav,3.1.3.wav,4.1.3.wav,1,58,2,f,Kapitao
59,3.2.2.wav,1.2.4.wav,3.2.4.wav,0,59,1,f,Kapitao
60,1.2.2.wav,1.1.4.wav,1.2.4.wav,1,60,3,f,Kapitao
61,4.1.2.wav,2.1.4.wav,2.1.2.wav,0,61,4,l,Kapitao
62,4.1.1.wav,2.1.3.wav,2.1.1.wav,0,62,1,l,Kapitao
63,2.1.1.wav,2.2.3.wav,2.2.1.wav,0,63,3,f,Kapitao
64,2.1.2.wav,2.2.4.wav,2.1.4.wav,1,64,1,f,Kapitao
65,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,65,2,f,Kapitao
66,4.2.3.wav,3.2.5.wav,3.2.3.wav,0,66,2,l,Kapitao
67,1.1.1.wav,3.1.3.wav,1.1.3.wav,0,67,2,f,Kapitao
68,3.1.3.wav,4.1.5.wav,3.1.5.wav,0,68,1,f,Kapitao
69,2.2.3.wav,2.1.5.wav,2.2.5.wav,1,69,7,l,Kapitao
70,1.1.1.wav,3.1.3.wav,3.1.1.wav,0,70,1,l,Kapitao
71,3.1.3.wav,4.1.5.wav,4.1.3.wav,0,71,2,f,Kapitao
72,1.1.3.wav,3.1.5.wav,1.1.5.wav,0,72,2,f,Kapitao
73,2.2.2.wav,4.2.4.wav,2.2.4.wav,1,73,1,l,Kapitao
74,1.2.1.wav,1.1.3.wav,1.2.3.wav,0,74,3,f,Kapitao
75,2.1.1.wav,1.1.3.wav,2.1.3.wav,0,75,3,l,Kapitao
76,2.2.2.wav,2.1.4.wav,2.1.2.wav,1,76,3,l,Kapitao
77,4.2.1.wav,2.2.3.wav,2.2.1.wav,0,77,2,l,Kapitao
78,4.2.1.wav,4.1.3.wav,4.1.1.wav,1,78,6,l,Kapitao
79,4.1.3.wav,4.2.5.wav,4.1.5.wav,1,79,2,f,Kapitao
80,4.2.2.wav,4.1.4.wav,4.2.4.wav,1,80,1,f,Kapitao
81,1.1.2.wav,2.1.4.wav,1.1.4.wav,1,81,2,l,Kapitao
82,1.2.3.wav,3.2.5.wav,1.2.5.wav,1,82,1,l,Kapitao
83,3.1.1.wav,4.1.3.wav,3.1.3.wav,1,83,1,f,Kapitao
84,3.1.2.wav,1.1.4.wav,1.1.2.wav,1,84,1,f,Kapitao
85,2.2.2.wav,2.1.4.wav,2.2.4.wav,0,85,3,l,Kapitao
86,1.2.1.wav,1.1.3.wav,1.1.1.wav,0,86,2,l,Kapitao
87,1.2.3.wav,1.1.5.wav,1.1.3.wav,0,87,3,f,Kapitao
88,3.1.2.wav,3.2.4.wav,3.1.4.wav,1,88,1,f,Kapitao
89,1.1.3.wav,1.2.5.wav,1.1.5.wav,1,89,3,l,Kapitao
90,4.1.3.wav,4.2.5.wav,4.2.3.wav,0,90,1,f,Kapitao
91,3.2.1.wav,4.2.3.wav,3.2.3.wav,1,91,1,f,Kapitao
92,1.1.2.wav,2.1.4.wav,2.1.2.wav,0,92,5,f,Kapitao
93,3.2.2.wav,3.1.4.wav,3.2.4.wav,0,93,1,l,Kapitao
94,1.1.2.wav,3.1.4.wav,1.1.4.wav,0,94,1,f,Kapitao
95,3.2.3.wav,4.2.5.wav,4.2.3.wav,1,95,1,f,Kapitao
96,1.2.3.wav,2.2.5.wav,2.2.3.wav,1,96,2,l,Kapitao
97,1.2.2.wav,3.2.4.wav,3.2.2.wav,1,97,3,f,Kapitao
98,4.2.3.wav,2.2.5.wav,4.2.5.wav,1,98,4,l,Kapitao
99,1.1.3.wav,1.2.5.wav,1.2.3.wav,0,99,5,f,Kapitao
100,2.2.1.wav,2.1.3.wav,2.2.3.wav,0,100,2,l,Kapitao
101,1.2.3.wav,2.2.5.wav,1.2.5.wav,1,101,3,l,Kapitao
102,1.2.2.wav,3.2.4.wav,1.2.4.wav,0,102,4,f,Kapitao
103,1.1.2.wav,1.2.4.wav,1.2.2.wav,0,103,2,f,Kapitao
104,2.2.2.wav,1.2.4.wav,1.2.2.wav,0,104,2,l,Kapitao
105,4.2.3.wav,3.2.5.wav,4.2.5.wav,1,105,3,l,Kapitao
106,4.2.2.wav,3.2.4.wav,3.2.2.wav,1,106,3,l,Kapitao
107,2.1.3.wav,2.2.5.wav,2.2.3.wav,0,107,1,f,Kapitao
108,2.1.2.wav,4.1.4.wav,2.1.4.wav,1,108,4,l,Kapitao
109,4.2.2.wav,2.2.4.wav,2.2.2.wav,0,109,3,l,Kapitao
110,4.2.3.wav,2.2.5.wav,2.2.3.wav,0,110,10,l,Kapitao
111,3.2.2.wav,3.1.4.wav,3.1.2.wav,0,111,1,l,Kapitao
112,1.2.1.wav,2.2.3.wav,1.2.3.wav,1,112,2,f,Kapitao
113,4.2.1.wav,4.1.3.wav,4.2.3.wav,0,113,1,f,Kapitao
114,4.2.2.wav,2.2.4.wav,4.2.4.wav,1,114,1,l,Kapitao
115,4.1.2.wav,4.2.4.wav,4.2.2.wav,1,115,2,f,Kapitao
116,3.1.2.wav,4.1.4.wav,3.1.4.wav,1,116,2,l,Kapitao
117,4.1.2.wav,3.1.4.wav,4.1.4.wav,0,117,2,l,Kapitao
118,2.1.1.wav,2.2.3.wav,2.1.3.wav,1,118,1,f,Kapitao
119,4.2.3.wav,4.1.5.wav,4.2.5.wav,0,119,6,l,Kapitao
120,1.2.2.wav,2.2.4.wav,2.2.2.wav,1,120,2,f,Kapitao
121,4.2.1.wav,3.2.3.wav,3.2.1.wav,0,121,7,l,Kapitao
122,3.1.2.wav,1.1.4.wav,3.1.4.wav,1,122,1,l,Kapitao
123,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,123,9,f,Kapitao
124,2.1.2.wav,1.1.4.wav,2.1.4.wav,0,124,2,f,Kapitao
125,4.1.1.wav,3.1.3.wav,3.1.1.wav,0,125,5,l,Kapitao
126,3.1.3.wav,1.1.5.wav,3.1.5.wav,0,126,6,f,Kapitao
127,3.1.2.wav,4.1.4.wav,4.1.2.wav,1,127,2,f,Kapitao
128,1.1.3.wav,2.1.5.wav,1.1.5.wav,1,128,3,f,Kapitao
129,2.1.1.wav,4.1.3.wav,2.1.3.wav,0,129,5,f,Kapitao
130,3.2.3.wav,4.2.5.wav,3.2.5.wav,1,130,1,f,Kapitao
131,3.2.2.wav,4.2.4.wav,3.2.4.wav,1,131,1,l,Kapitao
132,3.2.3.wav,1.2.5.wav,3.2.5.wav,0,132,4,l,Kapitao
133,1.2.3.wav,3.2.5.wav,3.2.3.wav,1,133,1,f,Kapitao
134,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,134,2,f,Kapitao
135,4.1.1.wav,4.2.3.wav,4.1.3.wav,0,135,2,f,Kapitao
136,2.2.1.wav,4.2.3.wav,4.2.1.wav,1,136,2,l,Kapitao
137,2.2.3.wav,1.2.5.wav,2.2.5.wav,1,137,2,l,Kapitao
138,2.2.1.wav,1.2.3.wav,1.2.1.wav,1,138,4,l,Kapitao
139,3.1.1.wav,4.1.3.wav,4.1.1.wav,0,139,4,f,Kapitao
140,3.2.3.wav,1.2.5.wav,1.2.3.wav,1,140,1,f,Kapitao
141,4.2.2.wav,3.2.4.wav,4.2.4.wav,0,141,1,l,Kapitao
142,1.1.1.wav,1.2.3.wav,1.2.1.wav,1,142,3,l,Kapitao
143,1.2.1.wav,2.2.3.wav,2.2.1.wav,1,143,1,f,Kapitao
144,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,144,2,f,Kapitao
145,2.1.3.wav,4.1.5.wav,4.1.3.wav,1,145,4,f,Kapitao
146,3.2.3.wav,3.1.5.wav,3.2.5.wav,0,146,5,l,Kapitao
147,1.1.1.wav,2.1.3.wav,1.1.3.wav,1,147,3,l,Kapitao
148,4.2.1.wav,2.2.3.wav,4.2.3.wav,0,148,1,f,Kapitao
149,3.2.2.wav,1.2.4.wav,1.2.2.wav,1,149,1,f,Kapitao
150,4.1.3.wav,3.1.5.wav,4.1.5.wav,0,150,4,l,Kapitao
151,2.2.1.wav,1.2.3.wav,2.2.3.wav,1,151,3,l,Kapitao
152,3.1.1.wav,1.1.3.wav,3.1.3.wav,0,152,1,f,Kapitao
153,3.1.2.wav,3.2.4.wav,3.2.2.wav,0,153,1,f,Kapitao
154,4.1.1.wav,4.2.3.wav,4.2.1.wav,1,154,1,l,Kapitao
155,2.1.3.wav,1.1.5.wav,2.1.5.wav,1,155,2,l,Kapitao
156,3.2.1.wav,4.2.3.wav,4.2.1.wav,0,156,4,f,Kapitao
157,1.1.1.wav,2.1.3.wav,2.1.1.wav,1,157,1,f,Kapitao
158,3.2.1.wav,3.1.3.wav,3.1.1.wav,1,158,5,l,Kapitao
159,3.2.3.wav,3.1.5.wav,3.1.3.wav,0,159,1,l,Kapitao
