,A,B,X,flip_order,order,repeats,response,subject
0,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,0,2,f,Karasa
1,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,1,4,f,Karasa
2,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,2,1,l,Karasa
3,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,3,1,f,Karasa
4,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,4,3,f,Karasa
5,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,5,2,l,Karasa
6,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,6,1,d,Karasa
7,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,7,1,l,Karasa
8,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,8,1,l,Karasa
9,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,9,6,l,Karasa
10,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,10,1,f,Karasa
11,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,11,1,f,Karasa
12,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,12,1,l,Karasa
13,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,13,1,l,Karasa
14,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,14,1,f,Karasa
15,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,15,1,l,Karasa
16,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,16,1,l,Karasa
17,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,17,1,l,Karasa
18,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,18,1,l,Karasa
19,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,19,1,l,Karasa
20,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,20,2,f,Karasa
21,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,21,1,l,Karasa
22,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,22,1,l,Karasa
23,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,23,1,l,Karasa
24,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,24,1,f,Karasa
25,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,25,1,l,Karasa
26,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,26,1,f,Karasa
27,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,27,1,l,Karasa
28,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,28,1,f,Karasa
29,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,29,1,l,Karasa
30,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,30,1,f,Karasa
31,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,31,1,l,Karasa
32,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,32,1,f,Karasa
33,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,33,1,l,Karasa
34,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,34,1,f,Karasa
35,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,35,1,l,Karasa
36,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,36,1,f,Karasa
37,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,37,1,l,Karasa
38,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,38,1,f,Karasa
39,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,39,1,l,Karasa
40,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,40,1,f,Karasa
41,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,41,1,l,Karasa
42,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,42,1,f,Karasa
43,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,43,1,l,Karasa
44,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,44,1,f,Karasa
45,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,45,1,l,Karasa
46,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,46,1,f,Karasa
47,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,47,1,l,Karasa
48,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,48,1,f,Karasa
49,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,49,1,l,Karasa
50,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,50,1,f,Karasa
51,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,51,1,l,Karasa
52,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,52,1,l,Karasa
53,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,53,1,f,Karasa
54,1.1.3.wav,1.2.5.wav,1.1.5.wav,0,54,1,l,Karasa
55,3.2.1.wav,4.2.3.wav,3.2.3.wav,0,55,1,f,Karasa
56,3.2.2.wav,4.2.4.wav,4.2.2.wav,0,56,1,l,Karasa
57,3.1.2.wav,4.1.4.wav,3.1.4.wav,0,57,1,f,Karasa
58,2.2.1.wav,2.1.3.wav,2.2.3.wav,0,58,1,l,Karasa
59,3.1.3.wav,3.2.5.wav,3.2.3.wav,0,59,1,f,Karasa
60,1.2.2.wav,1.1.4.wav,1.2.4.wav,0,60,1,l,Karasa
61,3.2.2.wav,1.2.4.wav,3.2.4.wav,0,61,1,f,Karasa
62,3.2.3.wav,1.2.5.wav,1.2.3.wav,1,62,1,l,Karasa
63,1.2.2.wav,3.2.4.wav,3.2.2.wav,1,63,1,f,Karasa
64,4.2.2.wav,2.2.4.wav,4.2.4.wav,0,64,1,l,Karasa
65,2.2.1.wav,2.1.3.wav,2.1.1.wav,1,65,1,f,Karasa
66,3.1.2.wav,3.2.4.wav,3.2.2.wav,0,66,1,l,Karasa
67,2.2.1.wav,1.2.3.wav,2.2.3.wav,0,67,1,f,Karasa
68,2.1.1.wav,1.1.3.wav,2.1.3.wav,1,68,1,l,Karasa
69,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,69,1,f,Karasa
