,A,B,X,flip_order,order,repeats,response,subject
0,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,0,4,f,Karo
1,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,1,2,f,Karo
2,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,2,2,f,Karo
3,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,3,1,f,Karo
4,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,4,1,f,Karo
5,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,5,1,l,Karo
6,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,6,1,f,Karo
7,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,7,1,f,Karo
8,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,8,1,f,Karo
9,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,9,1,f,Karo
10,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,10,1,f,Karo
11,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,11,1,f,Karo
12,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,12,1,f,Karo
13,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,13,1,f,Karo
14,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,14,1,f,Karo
15,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,15,1,l,Karo
16,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,16,1,f,Karo
17,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,17,1,f,Karo
18,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,18,1,f,Karo
19,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,19,1,f,Karo
20,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,20,1,f,Karo
21,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,21,1,f,Karo
22,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,22,1,f,Karo
23,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,23,1,f,Karo
24,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,24,1,f,Karo
25,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,25,1,f,Karo
26,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,26,1,f,Karo
27,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,27,1,f,Karo
28,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,28,1,f,Karo
29,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,29,1,f,Karo
30,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,30,1,f,Karo
31,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,31,1,f,Karo
