,A,B,X,flip_order,order,repeats,response,subject
0,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,0,7,l,Kasso
1,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,1,2,l,Kasso
2,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,2,4,f,Kasso
3,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,3,2,l,Kasso
4,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,4,4,f,Kasso
5,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,5,1,f,Kasso
6,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,6,2,f,Kasso
7,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,7,2,l,Kasso
8,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,8,4,f,Kasso
9,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,9,2,f,Kasso
10,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,10,5,l,Kasso
11,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,11,1,l,Kasso
12,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,12,2,f,Kasso
13,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,13,2,f,Kasso
14,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,14,4,f,Kasso
15,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,15,2,l,Kasso
16,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,16,2,f,Kasso
17,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,17,5,l,Kasso
18,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,18,2,f,Kasso
19,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,19,2,f,Kasso
20,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,20,2,f,Kasso
21,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,21,2,l,Kasso
22,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,22,2,f,Kasso
23,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,23,2,f,Kasso
24,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,24,4,l,Kasso
25,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,25,1,f,Kasso
26,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,26,2,f,Kasso
27,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,27,2,l,Kasso
28,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,28,2,l,Kasso
29,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,29,2,f,Kasso
30,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,30,2,f,Kasso
31,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,31,5,f,Kasso
32,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,32,7,f,Kasso
33,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,33,3,f,Kasso
34,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,34,2,f,Kasso
35,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,35,8,f,Kasso
36,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,36,4,f,Kasso
37,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,37,2,f,Kasso
38,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,38,3,f,Kasso
39,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,39,2,f,Kasso
40,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,40,4,f,Kasso
41,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,41,2,l,Kasso
42,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,42,2,f,Kasso
43,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,43,2,f,Kasso
44,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,44,1,l,Kasso
45,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,45,2,l,Kasso
46,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,46,1,l,Kasso
47,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,47,1,l,Kasso
48,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,48,4,f,Kasso
49,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,49,1,l,Kasso
50,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,50,2,l,Kasso
51,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,51,2,l,Kasso
52,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,52,4,f,Kasso
53,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,53,2,l,Kasso
54,1.1.2.wav,1.2.4.wav,1.1.4.wav,0,54,1,l,Kasso
55,4.2.3.wav,2.2.5.wav,4.2.5.wav,0,55,3,f,Kasso
56,3.2.3.wav,1.2.5.wav,3.2.5.wav,0,56,1,f,Kasso
57,3.2.1.wav,3.1.3.wav,3.1.1.wav,0,57,2,l,Kasso
58,3.1.2.wav,4.1.4.wav,4.1.2.wav,0,58,1,f,Kasso
59,1.1.2.wav,3.1.4.wav,1.1.4.wav,0,59,1,f,Kasso
60,2.2.2.wav,2.1.4.wav,2.2.4.wav,0,60,1,l,Kasso
61,1.1.1.wav,1.2.3.wav,1.1.3.wav,1,61,3,f,Kasso
62,3.1.2.wav,3.2.4.wav,3.1.4.wav,0,62,4,f,Kasso
63,3.1.1.wav,3.2.3.wav,3.1.3.wav,1,63,3,f,Kasso
64,1.2.2.wav,2.2.4.wav,2.2.2.wav,0,64,2,f,Kasso
65,3.2.1.wav,4.2.3.wav,3.2.3.wav,0,65,2,f,Kasso
66,1.2.3.wav,3.2.5.wav,1.2.5.wav,1,66,2,l,Kasso
67,2.2.2.wav,1.2.4.wav,2.2.4.wav,1,67,8,l,Kasso
68,1.2.2.wav,3.2.4.wav,1.2.4.wav,1,68,2,l,Kasso
69,4.2.3.wav,4.1.5.wav,4.1.3.wav,1,69,2,f,Kasso
70,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,70,6,f,Kasso
71,1.1.2.wav,2.1.4.wav,1.1.4.wav,0,71,2,f,Kasso
72,1.1.3.wav,3.1.5.wav,1.1.5.wav,0,72,1,f,Kasso
73,1.2.3.wav,3.2.5.wav,3.2.3.wav,0,73,1,l,Kasso
74,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,74,4,f,Kasso
75,1.2.1.wav,1.1.3.wav,1.1.1.wav,0,75,5,f,Kasso
76,4.2.2.wav,2.2.4.wav,2.2.2.wav,0,76,6,l,Kasso
77,2.2.2.wav,2.1.4.wav,2.1.2.wav,1,77,2,l,Kasso
78,2.1.1.wav,4.1.3.wav,2.1.3.wav,1,78,2,l,Kasso
79,2.1.2.wav,2.2.4.wav,2.2.2.wav,1,79,2,l,Kasso
80,1.1.1.wav,3.1.3.wav,3.1.1.wav,1,80,3,f,Kasso
81,4.2.2.wav,2.2.4.wav,4.2.4.wav,0,81,1,f,Kasso
82,4.2.2.wav,3.2.4.wav,3.2.2.wav,0,82,5,l,Kasso
83,2.1.2.wav,1.1.4.wav,2.1.4.wav,0,83,2,l,Kasso
84,2.2.3.wav,2.1.5.wav,2.1.3.wav,1,84,2,l,Kasso
85,1.1.2.wav,1.2.4.wav,1.2.2.wav,1,85,2,f,Kasso
86,1.2.1.wav,1.1.3.wav,1.2.3.wav,0,86,2,l,Kasso
87,3.1.1.wav,1.1.3.wav,1.1.1.wav,1,87,2,f,Kasso
88,2.1.2.wav,1.1.4.wav,1.1.2.wav,0,88,2,f,Kasso
89,2.2.2.wav,4.2.4.wav,4.2.2.wav,0,89,1,l,Kasso
90,2.2.3.wav,1.2.5.wav,2.2.5.wav,0,90,6,f,Kasso
91,3.1.2.wav,1.1.4.wav,3.1.4.wav,0,91,1,f,Kasso
92,2.2.1.wav,4.2.3.wav,2.2.3.wav,1,92,4,l,Kasso
93,3.2.3.wav,3.1.5.wav,3.2.5.wav,0,93,2,l,Kasso
94,2.1.3.wav,1.1.5.wav,1.1.3.wav,0,94,2,f,Kasso
95,3.1.3.wav,3.2.5.wav,3.1.5.wav,1,95,2,l,Kasso
96,1.2.3.wav,1.1.5.wav,1.1.3.wav,0,96,1,f,Kasso
97,4.2.3.wav,4.1.5.wav,4.2.5.wav,0,97,2,l,Kasso
98,2.1.3.wav,2.2.5.wav,2.2.3.wav,1,98,1,l,Kasso
99,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,99,2,l,Kasso
100,1.1.3.wav,3.1.5.wav,3.1.3.wav,1,100,2,f,Kasso
101,3.1.1.wav,1.1.3.wav,3.1.3.wav,0,101,1,f,Kasso
102,1.1.1.wav,1.2.3.wav,1.2.1.wav,0,102,2,l,Kasso
103,1.1.1.wav,2.1.3.wav,2.1.1.wav,0,103,1,f,Kasso
104,2.2.1.wav,4.2.3.wav,4.2.1.wav,0,104,1,l,Kasso
105,2.2.1.wav,1.2.3.wav,1.2.1.wav,1,105,2,l,Kasso
106,4.1.3.wav,4.2.5.wav,4.1.5.wav,1,106,2,f,Kasso
107,3.2.2.wav,3.1.4.wav,3.1.2.wav,1,107,4,l,Kasso
108,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,108,1,l,Kasso
109,2.2.3.wav,4.2.5.wav,4.2.3.wav,0,109,2,l,Kasso
110,4.1.1.wav,2.1.3.wav,2.1.1.wav,1,110,2,f,Kasso
111,4.1.2.wav,2.1.4.wav,4.1.4.wav,0,111,2,f,Kasso
