,A,B,X,flip_order,order,repeats,response,subject
0,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,0,3,f,Kjarasa
1,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,1,4,f,Kjarasa
2,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,2,1,f,Kjarasa
3,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,3,3,l,Kjarasa
4,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,4,1,l,Kjarasa
5,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,5,1,f,Kjarasa
6,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,6,1,f,Kjarasa
7,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,7,1,f,Kjarasa
8,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,8,1,f,Kjarasa
9,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,9,1,f,Kjarasa
10,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,10,1,f,Kjarasa
11,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,11,1,f,Kjarasa
12,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,12,1,f,Kjarasa
13,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,13,1,f,Kjarasa
14,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,14,1,f,Kjarasa
15,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,15,1,f,Kjarasa
16,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,16,1,f,Kjarasa
17,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,17,1,f,Kjarasa
18,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,18,1,f,Kjarasa
19,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,19,1,f,Kjarasa
20,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,20,1,f,Kjarasa
21,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,21,1,f,Kjarasa
22,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,22,1,f,Kjarasa
23,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,23,1,f,Kjarasa
24,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,24,1,f,Kjarasa
25,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,25,2,f,Kjarasa
26,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,26,1,f,Kjarasa
27,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,27,1,f,Kjarasa
28,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,28,1,f,Kjarasa
29,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,29,1,f,Kjarasa
30,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,30,1,f,Kjarasa
31,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,31,1,f,Kjarasa
32,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,32,1,f,Kjarasa
33,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,33,1,f,Kjarasa
34,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,34,1,f,Kjarasa
35,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,35,1,f,Kjarasa
36,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,36,1,f,Kjarasa
37,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,37,1,f,Kjarasa
38,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,38,1,f,Kjarasa
39,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,39,1,f,Kjarasa
40,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,40,1,f,Kjarasa
41,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,41,1,f,Kjarasa
