,A,B,X,flip_order,order,repeats,response,subject
0,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,0,1,l,Kjepokjyn
1,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,1,8,l,Kjepokjyn
2,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,2,2,f,Kjepokjyn
3,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,3,2,f,Kjepokjyn
4,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,4,1,f,Kjepokjyn
5,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,5,1,f,Kjepokjyn
6,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,6,3,f,Kjepokjyn
7,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,7,3,l,Kjepokjyn
8,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,8,2,l,Kjepokjyn
9,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,9,1,f,Kjepokjyn
10,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,10,3,f,Kjepokjyn
11,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,11,1,f,Kjepokjyn
12,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,12,1,l,Kjepokjyn
13,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,13,2,f,Kjepokjyn
14,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,14,1,f,Kjepokjyn
15,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,15,2,l,Kjepokjyn
16,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,16,3,f,Kjepokjyn
17,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,17,1,f,Kjepokjyn
18,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,18,1,f,Kjepokjyn
19,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,19,1,f,Kjepokjyn
20,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,20,1,l,Kjepokjyn
21,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,21,2,f,Kjepokjyn
22,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,22,1,f,Kjepokjyn
23,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,23,1,l,Kjepokjyn
24,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,24,2,f,Kjepokjyn
