,A,B,X,flip_order,order,repeats,response,subject
0,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,0,2,l,Kjepopo
1,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,1,2,l,Kjepopo
2,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,2,3,l,Kjepopo
3,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,3,5,l,Kjepopo
4,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,4,1,l,Kjepopo
5,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,5,3,l,Kjepopo
6,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,6,3,l,Kjepopo
7,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,7,3,l,Kjepopo
8,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,8,4,l,Kjepopo
9,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,9,3,l,Kjepopo
10,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,10,3,f,Kjepopo
11,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,11,3,l,Kjepopo
12,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,12,1,l,Kjepopo
13,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,13,3,l,Kjepopo
14,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,14,5,f,Kjepopo
15,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,15,1,l,Kjepopo
16,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,16,1,f,Kjepopo
17,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,17,2,l,Kjepopo
18,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,18,1,f,Kjepopo
19,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,19,2,l,Kjepopo
20,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,20,1,l,Kjepopo
21,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,21,1,f,Kjepopo
22,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,22,3,l,Kjepopo
23,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,23,4,l,Kjepopo
24,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,24,3,l,Kjepopo
25,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,25,2,l,Kjepopo
26,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,26,2,l,Kjepopo
