,A,B,X,flip_order,order,repeats,response,subject
0,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,0,1,f,Kokwari
1,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,1,2,f,Kokwari
2,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,2,3,l,Kokwari
3,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,3,1,l,Kokwari
4,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,4,1,l,Kokwari
5,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,5,1,f,Kokwari
6,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,6,1,l,Kokwari
7,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,7,1,l,Kokwari
8,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,8,1,l,Kokwari
9,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,9,2,f,Kokwari
10,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,10,1,f,Kokwari
11,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,11,1,f,Kokwari
12,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,12,1,l,Kokwari
13,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,13,1,f,Kokwari
14,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,14,1,f,Kokwari
15,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,15,2,l,Kokwari
16,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,16,1,f,Kokwari
17,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,17,1,f,Kokwari
18,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,18,2,f,Kokwari
19,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,19,1,l,Kokwari
20,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,20,1,l,Kokwari
21,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,21,1,l,Kokwari
22,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,22,1,l,Kokwari
23,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,23,1,f,Kokwari
24,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,24,2,f,Kokwari
25,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,25,2,l,Kokwari
26,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,26,1,l,Kokwari
27,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,27,1,l,Kokwari
28,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,28,1,f,Kokwari
29,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,29,1,f,Kokwari
30,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,30,1,l,Kokwari
31,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,31,2,l,Kokwari
32,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,32,1,f,Kokwari
33,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,33,1,f,Kokwari
34,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,34,3,l,Kokwari
35,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,35,1,l,Kokwari
36,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,36,1,l,Kokwari
37,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,37,1,f,Kokwari
38,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,38,1,l,Kokwari
39,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,39,1,l,Kokwari
40,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,40,1,l,Kokwari
41,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,41,1,l,Kokwari
42,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,42,1,f,Kokwari
43,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,43,2,f,Kokwari
44,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,44,1,l,Kokwari
45,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,45,1,l,Kokwari
46,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,46,2,f,Kokwari
47,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,47,1,f,Kokwari
48,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,48,1,f,Kokwari
49,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,49,1,f,Kokwari
50,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,50,1,f,Kokwari
51,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,51,1,f,Kokwari
52,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,52,1,l,Kokwari
53,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,53,1,f,Kokwari
54,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,54,1,f,Kokwari
55,4.1.2.wav,4.2.4.wav,4.1.4.wav,1,55,1,f,Kokwari
56,4.2.3.wav,4.1.5.wav,4.2.5.wav,0,56,1,f,Kokwari
57,3.2.2.wav,3.1.4.wav,3.1.2.wav,0,57,2,f,Kokwari
58,1.1.1.wav,1.2.3.wav,1.2.1.wav,1,58,2,l,Kokwari
59,1.1.1.wav,1.2.3.wav,1.1.3.wav,0,59,1,l,Kokwari
60,2.1.2.wav,1.1.4.wav,1.1.2.wav,1,60,1,f,Kokwari
61,1.2.3.wav,2.2.5.wav,2.2.3.wav,1,61,3,f,Kokwari
62,2.2.1.wav,1.2.3.wav,1.2.1.wav,1,62,1,l,Kokwari
63,3.2.1.wav,1.2.3.wav,3.2.3.wav,1,63,1,f,Kokwari
64,2.2.2.wav,2.1.4.wav,2.2.4.wav,1,64,1,f,Kokwari
65,4.2.2.wav,3.2.4.wav,4.2.4.wav,1,65,1,f,Kokwari
66,1.2.1.wav,2.2.3.wav,2.2.1.wav,0,66,1,f,Kokwari
67,3.2.3.wav,3.1.5.wav,3.1.3.wav,0,67,1,f,Kokwari
68,3.1.3.wav,3.2.5.wav,3.1.5.wav,1,68,1,f,Kokwari
69,2.1.2.wav,2.2.4.wav,2.2.2.wav,1,69,1,l,Kokwari
70,1.1.2.wav,1.2.4.wav,1.1.4.wav,1,70,1,f,Kokwari
71,1.1.3.wav,3.1.5.wav,3.1.3.wav,0,71,1,l,Kokwari
72,2.2.1.wav,4.2.3.wav,2.2.3.wav,0,72,1,l,Kokwari
73,4.2.2.wav,4.1.4.wav,4.2.4.wav,1,73,1,f,Kokwari
74,3.2.2.wav,3.1.4.wav,3.2.4.wav,0,74,1,l,Kokwari
75,2.1.3.wav,4.1.5.wav,2.1.5.wav,0,75,3,f,Kokwari
76,1.2.3.wav,3.2.5.wav,3.2.3.wav,0,76,1,l,Kokwari
77,1.2.2.wav,2.2.4.wav,2.2.2.wav,1,77,1,l,Kokwari
78,2.1.3.wav,1.1.5.wav,1.1.3.wav,1,78,1,l,Kokwari
79,3.1.1.wav,1.1.3.wav,1.1.1.wav,1,79,1,f,Kokwari
80,3.2.2.wav,1.2.4.wav,1.2.2.wav,1,80,1,f,Kokwari
81,2.1.1.wav,4.1.3.wav,2.1.3.wav,0,81,2,l,Kokwari
82,3.2.1.wav,1.2.3.wav,1.2.1.wav,1,82,2,f,Kokwari
83,1.2.3.wav,3.2.5.wav,1.2.5.wav,0,83,1,f,Kokwari
84,3.2.2.wav,4.2.4.wav,4.2.2.wav,0,84,1,l,Kokwari
85,4.1.3.wav,4.2.5.wav,4.2.3.wav,1,85,1,f,Kokwari
86,4.1.1.wav,2.1.3.wav,2.1.1.wav,0,86,1,f,Kokwari
