,A,B,X,flip_order,order,repeats,response,subject
0,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,0,2,f,Kopyn
1,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,1,2,l,Kopyn
2,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,2,1,l,Kopyn
3,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,3,1,f,Kopyn
4,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,4,3,f,Kopyn
5,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,5,1,f,Kopyn
6,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,6,3,l,Kopyn
7,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,7,1,f,Kopyn
8,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,8,1,l,Kopyn
9,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,9,1,f,Kopyn
10,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,10,2,l,Kopyn
11,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,11,1,f,Kopyn
12,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,12,1,l,Kopyn
13,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,13,1,l,Kopyn
14,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,14,2,f,Kopyn
15,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,15,1,f,Kopyn
16,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,16,3,f,Kopyn
17,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,17,1,l,Kopyn
18,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,18,2,l,Kopyn
19,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,19,3,l,Kopyn
20,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,20,1,f,Kopyn
21,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,21,1,f,Kopyn
22,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,22,1,l,Kopyn
23,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,23,1,f,Kopyn
24,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,24,1,f,Kopyn
25,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,25,1,l,Kopyn
26,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,26,1,f,Kopyn
