,A,B,X,flip_order,order,repeats,response,subject
0,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,0,2,f,Krekjon
1,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,1,1,l,Krekjon
2,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,2,2,l,Krekjon
3,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,3,3,f,Krekjon
4,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,4,1,f,Krekjon
5,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,5,2,f,Krekjon
6,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,6,2,l,Krekjon
7,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,7,1,f,Krekjon
8,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,8,2,f,Krekjon
9,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,9,1,f,Krekjon
10,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,10,1,f,Krekjon
11,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,11,2,f,Krekjon
12,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,12,2,l,Krekjon
13,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,13,2,f,Krekjon
14,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,14,2,l,Krekjon
15,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,15,2,l,Krekjon
16,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,16,1,l,Krekjon
17,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,17,1,f,Krekjon
18,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,18,5,f,Krekjon
19,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,19,1,f,Krekjon
20,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,20,1,f,Krekjon
21,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,21,1,f,Krekjon
22,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,22,1,f,Krekjon
23,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,23,2,l,Krekjon
24,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,24,2,l,Krekjon
25,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,25,1,l,Krekjon
26,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,26,1,f,Krekjon
27,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,27,1,f,Krekjon
28,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,28,1,f,Krekjon
29,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,29,1,f,Krekjon
30,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,30,1,f,Krekjon
31,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,31,1,f,Krekjon
