,A,B,X,flip_order,order,repeats,response,subject
0,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,0,4,l,Kuka
1,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,1,1,l,Kuka
2,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,2,1,f,Kuka
3,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,3,1,l,Kuka
4,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,4,1,f,Kuka
5,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,5,1,l,Kuka
6,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,6,2,f,Kuka
7,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,7,1,f,Kuka
8,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,8,1,f,Kuka
9,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,9,1,f,Kuka
10,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,10,2,l,Kuka
11,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,11,2,f,Kuka
12,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,12,1,f,Kuka
13,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,13,1,f,Kuka
14,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,14,1,f,Kuka
15,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,15,2,f,Kuka
16,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,16,2,l,Kuka
17,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,17,3,f,Kuka
18,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,18,1,f,Kuka
19,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,19,1,l,Kuka
20,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,20,1,f,Kuka
21,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,21,1,f,Kuka
22,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,22,1,f,Kuka
23,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,23,1,l,Kuka
24,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,24,1,l,Kuka
25,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,25,1,l,Kuka
26,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,26,1,l,Kuka
27,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,27,2,l,Kuka
28,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,28,2,f,Kuka
29,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,29,2,l,Kuka
30,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,30,1,l,Kuka
31,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,31,1,f,Kuka
32,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,32,2,l,Kuka
