,A,B,X,flip_order,order,repeats,response,subject
0,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,0,4,l,Kwakjari
1,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,1,1,f,Kwakjari
2,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,2,1,l,Kwakjari
3,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,3,1,f,Kwakjari
4,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,4,1,f,Kwakjari
5,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,5,1,l,Kwakjari
6,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,6,1,f,Kwakjari
7,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,7,1,l,Kwakjari
8,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,8,1,f,Kwakjari
9,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,9,1,l,Kwakjari
10,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,10,1,f,Kwakjari
11,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,11,1,l,Kwakjari
12,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,12,1,f,Kwakjari
13,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,13,1,l,Kwakjari
14,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,14,1,f,Kwakjari
15,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,15,1,l,Kwakjari
16,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,16,1,f,Kwakjari
17,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,17,1,l,Kwakjari
18,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,18,1,f,Kwakjari
19,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,19,1,l,Kwakjari
20,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,20,1,f,Kwakjari
21,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,21,1,l,Kwakjari
22,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,22,1,f,Kwakjari
