,A,B,X,flip_order,order,repeats,response,subject
0,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,0,3,l,Kwankoren
1,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,1,5,f,Kwankoren
2,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,2,1,f,Kwankoren
3,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,3,1,f,Kwankoren
4,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,4,1,l,Kwankoren
5,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,5,1,f,Kwankoren
6,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,6,3,f,Kwankoren
7,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,7,1,l,Kwankoren
8,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,8,1,f,Kwankoren
9,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,9,1,l,Kwankoren
10,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,10,1,f,Kwankoren
11,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,11,2,l,Kwankoren
12,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,12,1,f,Kwankoren
13,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,13,2,l,Kwankoren
14,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,14,1,f,Kwankoren
15,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,15,1,l,Kwankoren
16,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,16,2,f,Kwankoren
17,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,17,1,l,Kwankoren
18,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,18,2,f,Kwankoren
19,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,19,2,l,Kwankoren
20,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,20,2,f,Kwankoren
21,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,21,2,l,Kwankoren
22,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,22,2,f,Kwankoren
23,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,23,3,f,Kwankoren
24,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,24,2,f,Kwankoren
25,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,25,3,l,Kwankoren
26,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,26,1,f,Kwankoren
27,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,27,3,l,Kwankoren
28,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,28,1,f,Kwankoren
29,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,29,1,l,Kwankoren
30,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,30,1,f,Kwankoren
31,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,31,2,f,Kwankoren
32,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,32,2,f,Kwankoren
33,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,33,2,f,Kwankoren
34,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,34,2,f,Kwankoren
35,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,35,1,f,Kwankoren
36,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,36,2,f,Kwankoren
37,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,37,2,f,Kwankoren
38,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,38,2,l,Kwankoren
39,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,39,2,f,Kwankoren
40,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,40,1,l,Kwankoren
41,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,41,2,f,Kwankoren
42,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,42,1,l,Kwankoren
43,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,43,3,l,Kwankoren
44,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,44,2,f,Kwankoren
45,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,45,2,l,Kwankoren
46,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,46,3,l,Kwankoren
47,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,47,1,f,Kwankoren
48,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,48,2,f,Kwankoren
49,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,49,2,f,Kwankoren
50,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,50,2,l,Kwankoren
51,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,51,2,f,Kwankoren
52,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,52,1,f,Kwankoren
53,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,53,1,l,Kwankoren
54,1.1.3.wav,3.1.5.wav,1.1.5.wav,1,54,2,l,Kwankoren
55,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,55,3,f,Kwankoren
56,4.2.2.wav,2.2.4.wav,2.2.2.wav,0,56,2,l,Kwankoren
57,4.1.2.wav,3.1.4.wav,3.1.2.wav,1,57,2,l,Kwankoren
58,1.2.2.wav,1.1.4.wav,1.2.4.wav,1,58,2,l,Kwankoren
59,4.2.3.wav,2.2.5.wav,2.2.3.wav,1,59,1,f,Kwankoren
60,3.1.3.wav,4.1.5.wav,4.1.3.wav,0,60,2,f,Kwankoren
61,2.1.2.wav,2.2.4.wav,2.1.4.wav,1,61,1,f,Kwankoren
62,1.1.2.wav,3.1.4.wav,1.1.4.wav,1,62,2,l,Kwankoren
63,2.1.1.wav,1.1.3.wav,2.1.3.wav,1,63,1,f,Kwankoren
64,1.2.3.wav,1.1.5.wav,1.1.3.wav,0,64,2,f,Kwankoren
65,3.1.3.wav,3.2.5.wav,3.1.5.wav,0,65,3,f,Kwankoren
66,2.1.3.wav,1.1.5.wav,1.1.3.wav,1,66,1,f,Kwankoren
67,3.1.2.wav,4.1.4.wav,4.1.2.wav,1,67,5,f,Kwankoren
