,A,B,X,flip_order,order,repeats,response,subject
0,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,0,2,l,Kypakja
1,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,1,2,f,Kypakja
2,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,2,1,f,Kypakja
3,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,3,1,f,Kypakja
4,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,4,3,f,Kypakja
5,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,5,2,f,Kypakja
6,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,6,1,l,Kypakja
7,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,7,1,f,Kypakja
8,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,8,1,f,Kypakja
9,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,9,1,f,Kypakja
10,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,10,1,f,Kypakja
11,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,11,1,l,Kypakja
12,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,12,1,f,Kypakja
13,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,13,1,l,Kypakja
14,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,14,1,f,Kypakja
15,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,15,1,f,Kypakja
16,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,16,1,l,Kypakja
17,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,17,1,f,Kypakja
18,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,18,1,f,Kypakja
19,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,19,1,l,Kypakja
20,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,20,1,f,Kypakja
21,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,21,1,f,Kypakja
22,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,22,1,l,Kypakja
23,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,23,1,f,Kypakja
24,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,24,1,f,Kypakja
25,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,25,1,l,Kypakja
26,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,26,1,f,Kypakja
27,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,27,1,f,Kypakja
28,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,28,1,f,Kypakja
29,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,29,1,l,Kypakja
30,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,30,1,f,Kypakja
31,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,31,1,f,Kypakja
32,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,32,1,l,Kypakja
33,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,33,1,f,Kypakja
34,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,34,1,l,Kypakja
35,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,35,1,f,Kypakja
36,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,36,1,f,Kypakja
37,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,37,1,f,Kypakja
38,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,38,1,f,Kypakja
39,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,39,1,l,Kypakja
40,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,40,1,f,Kypakja
41,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,41,1,l,Kypakja
42,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,42,1,l,Kypakja
43,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,43,1,f,Kypakja
44,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,44,1,l,Kypakja
45,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,45,1,f,Kypakja
46,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,46,1,l,Kypakja
47,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,47,1,f,Kypakja
48,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,48,1,f,Kypakja
49,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,49,1,l,Kypakja
50,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,50,1,f,Kypakja
51,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,51,1,f,Kypakja
52,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,52,1,f,Kypakja
53,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,53,1,f,Kypakja
54,4.1.1.wav,2.1.3.wav,4.1.3.wav,0,54,1,f,Kypakja
55,3.1.1.wav,4.1.3.wav,4.1.1.wav,1,55,1,l,Kypakja
56,1.2.3.wav,2.2.5.wav,2.2.3.wav,1,56,1,f,Kypakja
57,3.2.2.wav,1.2.4.wav,1.2.2.wav,1,57,1,f,Kypakja
58,4.2.1.wav,3.2.3.wav,3.2.1.wav,1,58,1,f,Kypakja
59,2.2.1.wav,2.1.3.wav,2.2.3.wav,0,59,1,l,Kypakja
60,2.2.1.wav,1.2.3.wav,2.2.3.wav,0,60,1,f,Kypakja
61,3.2.2.wav,3.1.4.wav,3.2.4.wav,1,61,1,f,Kypakja
62,3.1.1.wav,3.2.3.wav,3.2.1.wav,0,62,1,f,Kypakja
63,3.1.2.wav,4.1.4.wav,4.1.2.wav,0,63,1,l,Kypakja
64,2.1.2.wav,2.2.4.wav,2.1.4.wav,0,64,1,f,Kypakja
65,3.2.3.wav,4.2.5.wav,3.2.5.wav,1,65,1,f,Kypakja
66,2.2.2.wav,2.1.4.wav,2.2.4.wav,1,66,1,f,Kypakja
