,A,B,X,flip_order,order,repeats,response,subject
0,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,0,2,f,Mikre
1,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,1,2,f,Mikre
2,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,2,2,l,Mikre
3,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,3,2,f,Mikre
4,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,4,3,l,Mikre
5,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,5,3,f,Mikre
6,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,6,3,l,Mikre
7,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,7,1,f,Mikre
8,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,8,1,f,Mikre
9,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,9,2,f,Mikre
10,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,10,1,l,Mikre
11,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,11,1,f,Mikre
12,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,12,1,f,Mikre
13,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,13,1,f,Mikre
14,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,14,1,f,Mikre
15,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,15,1,l,Mikre
16,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,16,1,f,Mikre
17,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,17,1,f,Mikre
18,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,18,2,f,Mikre
19,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,19,2,l,Mikre
20,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,20,1,f,Mikre
21,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,21,1,l,Mikre
22,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,22,2,l,Mikre
23,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,23,1,f,Mikre
24,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,24,1,f,Mikre
25,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,25,2,f,Mikre
26,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,26,1,l,Mikre
27,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,27,2,l,Mikre
28,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,28,2,f,Mikre
29,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,29,1,f,Mikre
30,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,30,1,f,Mikre
31,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,31,1,f,Mikre
32,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,32,1,f,Mikre
33,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,33,2,l,Mikre
34,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,34,1,f,Mikre
35,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,35,3,f,Mikre
36,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,36,2,l,Mikre
37,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,37,2,f,Mikre
38,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,38,1,f,Mikre
39,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,39,2,l,Mikre
40,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,40,3,f,Mikre
41,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,41,1,f,Mikre
42,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,42,1,l,Mikre
43,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,43,2,l,Mikre
44,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,44,1,f,Mikre
45,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,45,1,l,Mikre
46,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,46,2,l,Mikre
47,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,47,1,l,Mikre
48,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,48,1,f,Mikre
49,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,49,1,l,Mikre
50,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,50,1,f,Mikre
51,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,51,1,f,Mikre
52,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,52,2,f,Mikre
53,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,53,1,f,Mikre
54,1.2.3.wav,2.2.5.wav,1.2.5.wav,0,54,1,f,Mikre
55,4.1.2.wav,4.2.4.wav,4.1.4.wav,1,55,1,f,Mikre
56,4.1.3.wav,3.1.5.wav,4.1.5.wav,0,56,1,l,Mikre
57,4.1.2.wav,4.2.4.wav,4.2.2.wav,0,57,3,f,Mikre
58,4.2.1.wav,3.2.3.wav,4.2.3.wav,0,58,1,f,Mikre
59,3.1.2.wav,3.2.4.wav,3.1.4.wav,0,59,1,f,Mikre
60,3.2.3.wav,4.2.5.wav,4.2.3.wav,0,60,1,f,Mikre
61,2.2.2.wav,4.2.4.wav,4.2.2.wav,0,61,2,f,Mikre
62,1.1.3.wav,3.1.5.wav,1.1.5.wav,0,62,1,f,Mikre
63,2.1.3.wav,1.1.5.wav,2.1.5.wav,0,63,3,f,Mikre
64,4.1.1.wav,2.1.3.wav,4.1.3.wav,1,64,1,l,Mikre
