,A,B,X,flip_order,order,repeats,response,subject
0,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,0,4,l,Nokrea
1,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,1,3,f,Nokrea
2,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,2,2,f,Nokrea
3,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,3,1,l,Nokrea
4,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,4,1,f,Nokrea
5,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,5,1,l,Nokrea
6,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,6,1,f,Nokrea
7,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,7,1,l,Nokrea
8,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,8,1,f,Nokrea
9,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,9,1,l,Nokrea
10,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,10,1,f,Nokrea
11,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,11,1,l,Nokrea
12,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,12,1,f,Nokrea
13,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,13,1,l,Nokrea
14,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,14,1,f,Nokrea
15,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,15,1,l,Nokrea
16,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,16,10,f,Nokrea
