,A,B,X,flip_order,order,repeats,response,subject
0,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,0,4,f,Paasora
1,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,1,3,f,Paasora
2,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,2,2,f,Paasora
3,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,3,1,f,Paasora
4,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,4,1,f,Paasora
5,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,5,1,f,Paasora
6,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,6,1,l,Paasora
7,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,7,1,f,Paasora
8,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,8,1,l,Paasora
9,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,9,1,f,Paasora
10,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,10,1,l,Paasora
11,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,11,1,f,Paasora
12,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,12,1,l,Paasora
13,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,13,1,l,Paasora
14,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,14,1,f,Paasora
15,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,15,1,l,Paasora
16,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,16,1,l,Paasora
17,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,17,1,l,Paasora
18,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,18,1,l,Paasora
19,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,19,1,f,Paasora
20,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,20,1,l,Paasora
21,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,21,1,f,Paasora
22,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,22,1,l,Paasora
23,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,23,1,f,Paasora
