,A,B,X,flip_order,order,repeats,response,subject
0,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,0,2,l,Pakrekaka
1,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,1,1,l,Pakrekaka
2,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,2,1,l,Pakrekaka
3,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,3,1,f,Pakrekaka
4,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,4,1,l,Pakrekaka
5,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,5,1,f,Pakrekaka
6,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,6,1,l,Pakrekaka
7,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,7,1,f,Pakrekaka
8,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,8,1,l,Pakrekaka
9,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,9,1,f,Pakrekaka
10,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,10,1,f,Pakrekaka
11,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,11,1,f,Pakrekaka
12,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,12,1,l,Pakrekaka
13,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,13,1,l,Pakrekaka
14,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,14,1,l,Pakrekaka
15,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,15,1,f,Pakrekaka
16,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,16,1,f,Pakrekaka
17,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,17,1,f,Pakrekaka
18,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,18,1,l,Pakrekaka
19,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,19,1,l,Pakrekaka
20,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,20,1,l,Pakrekaka
21,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,21,1,l,Pakrekaka
22,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,22,1,l,Pakrekaka
23,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,23,1,l,Pakrekaka
24,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,24,1,l,Pakrekaka
25,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,25,1,l,Pakrekaka
26,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,26,1,f,Pakrekaka
27,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,27,1,f,Pakrekaka
28,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,28,1,f,Pakrekaka
29,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,29,1,l,Pakrekaka
30,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,30,1,l,Pakrekaka
31,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,31,1,l,Pakrekaka
32,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,32,1,f,Pakrekaka
33,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,33,1,f,Pakrekaka
34,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,34,1,f,Pakrekaka
35,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,35,1,l,Pakrekaka
36,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,36,1,f,Pakrekaka
37,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,37,1,l,Pakrekaka
38,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,38,1,f,Pakrekaka
39,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,39,1,f,Pakrekaka
40,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,40,1,l,Pakrekaka
41,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,41,1,l,Pakrekaka
42,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,42,1,l,Pakrekaka
43,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,43,1,f,Pakrekaka
44,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,44,1,f,Pakrekaka
45,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,45,1,l,Pakrekaka
46,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,46,1,f,Pakrekaka
47,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,47,1,l,Pakrekaka
48,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,48,1,f,Pakrekaka
49,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,49,1,l,Pakrekaka
50,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,50,1,f,Pakrekaka
51,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,51,1,f,Pakrekaka
52,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,52,1,l,Pakrekaka
53,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,53,1,l,Pakrekaka
54,1.1.1.wav,1.2.3.wav,1.1.3.wav,1,54,1,f,Pakrekaka
55,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,55,1,f,Pakrekaka
56,2.1.3.wav,4.1.5.wav,2.1.5.wav,0,56,1,f,Pakrekaka
57,4.2.1.wav,3.2.3.wav,4.2.3.wav,0,57,1,l,Pakrekaka
