,A,B,X,flip_order,order,repeats,response,subject
0,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,0,3,f,Paryti
1,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,1,1,l,Paryti
2,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,2,1,l,Paryti
3,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,3,1,l,Paryti
4,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,4,1,l,Paryti
5,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,5,1,l,Paryti
6,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,6,1,l,Paryti
7,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,7,1,f,Paryti
8,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,8,1,l,Paryti
9,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,9,1,l,Paryti
10,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,10,1,l,Paryti
11,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,11,1,l,Paryti
12,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,12,1,l,Paryti
13,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,13,1,l,Paryti
14,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,14,1,l,Paryti
15,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,15,1,l,Paryti
16,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,16,1,l,Paryti
17,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,17,1,f,Paryti
18,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,18,1,f,Paryti
19,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,19,1,l,Paryti
20,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,20,1,l,Paryti
21,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,21,1,l,Paryti
22,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,22,1,f,Paryti
23,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,23,1,f,Paryti
24,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,24,1,l,Paryti
25,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,25,1,l,Paryti
26,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,26,1,f,Paryti
27,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,27,1,l,Paryti
28,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,28,1,l,Paryti
29,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,29,1,f,Paryti
30,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,30,1,f,Paryti
31,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,31,1,f,Paryti
32,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,32,1,l,Paryti
33,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,33,1,l,Paryti
34,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,34,1,l,Paryti
35,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,35,1,l,Paryti
36,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,36,1,l,Paryti
37,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,37,1,f,Paryti
38,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,38,1,f,Paryti
39,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,39,1,l,Paryti
40,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,40,1,f,Paryti
41,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,41,1,l,Paryti
42,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,42,1,l,Paryti
43,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,43,1,l,Paryti
44,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,44,1,l,Paryti
45,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,45,1,f,Paryti
46,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,46,1,l,Paryti
47,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,47,1,l,Paryti
48,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,48,1,l,Paryti
49,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,49,1,l,Paryti
50,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,50,1,l,Paryti
51,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,51,1,l,Paryti
52,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,52,1,l,Paryti
53,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,53,1,l,Paryti
54,2.2.1.wav,4.2.3.wav,2.2.3.wav,0,54,1,f,Paryti
55,2.2.1.wav,2.1.3.wav,2.1.1.wav,1,55,1,f,Paryti
56,4.1.2.wav,3.1.4.wav,4.1.4.wav,1,56,1,l,Paryti
57,1.1.2.wav,2.1.4.wav,1.1.4.wav,0,57,1,f,Paryti
58,3.1.2.wav,1.1.4.wav,1.1.2.wav,1,58,1,f,Paryti
59,2.1.1.wav,1.1.3.wav,1.1.1.wav,1,59,1,l,Paryti
60,4.2.1.wav,3.2.3.wav,4.2.3.wav,0,60,1,l,Paryti
61,3.2.3.wav,3.1.5.wav,3.2.5.wav,1,61,1,l,Paryti
62,2.2.2.wav,4.2.4.wav,2.2.4.wav,0,62,1,l,Paryti
63,3.1.2.wav,4.1.4.wav,3.1.4.wav,1,63,1,l,Paryti
64,1.2.1.wav,3.2.3.wav,3.2.1.wav,1,64,1,f,Paryti
65,1.1.3.wav,1.2.5.wav,1.1.5.wav,0,65,1,l,Paryti
66,3.1.2.wav,3.2.4.wav,3.1.4.wav,1,66,1,f,Paryti
67,2.2.1.wav,4.2.3.wav,4.2.1.wav,0,67,1,l,Paryti
68,2.2.3.wav,4.2.5.wav,4.2.3.wav,1,68,1,f,Paryti
69,4.2.2.wav,2.2.4.wav,4.2.4.wav,1,69,1,l,Paryti
70,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,70,1,f,Paryti
71,4.1.3.wav,4.2.5.wav,4.2.3.wav,1,71,1,l,Paryti
72,4.1.3.wav,2.1.5.wav,4.1.5.wav,0,72,1,f,Paryti
73,2.1.2.wav,1.1.4.wav,2.1.4.wav,0,73,1,f,Paryti
74,2.2.1.wav,1.2.3.wav,2.2.3.wav,1,74,1,f,Paryti
75,2.2.3.wav,2.1.5.wav,2.2.5.wav,0,75,1,l,Paryti
76,2.2.3.wav,1.2.5.wav,1.2.3.wav,1,76,1,l,Paryti
77,3.2.2.wav,1.2.4.wav,1.2.2.wav,1,77,1,f,Paryti
78,2.2.2.wav,2.1.4.wav,2.1.2.wav,1,78,1,f,Paryti
79,2.1.3.wav,2.2.5.wav,2.1.5.wav,1,79,1,l,Paryti
80,3.1.3.wav,3.2.5.wav,3.2.3.wav,1,80,1,l,Paryti
81,2.2.3.wav,4.2.5.wav,2.2.5.wav,1,81,1,l,Paryti
82,4.2.3.wav,2.2.5.wav,4.2.5.wav,0,82,1,l,Paryti
83,1.1.3.wav,3.1.5.wav,1.1.5.wav,0,83,1,f,Paryti
84,4.2.3.wav,3.2.5.wav,3.2.3.wav,0,84,1,f,Paryti
85,4.2.2.wav,4.1.4.wav,4.1.2.wav,1,85,1,f,Paryti
