rr,A,B,X,flip_order,order,repeats,response,subject
0,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,0,5,l,Passi
1,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,1,1,l,Passi
2,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,2,2,f,Passi
3,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,3,1,l,Passi
4,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,4,1,f,Passi
5,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,5,2,l,Passi
6,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,6,1,f,Passi
7,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,7,1,f,Passi
8,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,8,1,f,Passi
9,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,9,1,l,Passi
10,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,10,2,l,Passi
11,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,11,1,l,Passi
12,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,12,1,l,Passi
13,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,13,1,l,Passi
14,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,14,2,f,Passi
15,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,15,1,l,Passi
16,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,16,2,l,Passi
17,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,17,1,f,Passi
18,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,18,1,l,Passi
19,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,19,2,f,Passi
20,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,20,1,f,Passi
21,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,21,1,l,Passi
22,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,22,1,f,Passi
23,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,23,2,l,Passi
24,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,24,2,f,Passi
25,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,25,1,f,Passi
26,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,26,1,l,Passi
27,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,27,1,f,Passi
28,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,28,2,f,Passi
29,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,29,2,l,Passi
30,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,30,1,f,Passi
31,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,31,2,l,Passi
32,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,32,1,f,Passi
33,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,33,2,f,Passi
34,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,34,1,f,Passi
35,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,35,1,l,Passi
36,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,36,2,l,Passi
37,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,37,1,l,Passi
38,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,38,3,f,Passi
39,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,39,2,l,Passi
40,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,40,1,l,Passi
41,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,41,1,f,Passi
42,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,42,1,l,Passi
43,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,43,2,l,Passi
44,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,44,2,f,Passi
45,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,45,1,f,Passi
46,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,46,2,l,Passi
47,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,47,1,l,Passi
48,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,48,1,f,Passi
49,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,49,2,f,Passi
50,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,50,1,l,Passi
51,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,51,1,f,Passi
52,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,52,2,l,Passi
53,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,53,1,f,Passi
54,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,54,1,l,Passi
55,4.2.3.wav,4.1.5.wav,4.1.3.wav,1,55,2,f,Passi
56,3.1.1.wav,4.1.3.wav,4.1.1.wav,0,56,1,f,Passi
57,1.1.1.wav,3.1.3.wav,3.1.1.wav,0,57,1,l,Passi
58,4.2.1.wav,3.2.3.wav,4.2.3.wav,0,58,2,l,Passi
59,3.1.1.wav,3.2.3.wav,3.1.3.wav,1,59,3,l,Passi
60,1.2.2.wav,1.1.4.wav,1.2.4.wav,0,60,1,l,Passi
61,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,61,1,l,Passi
62,2.1.1.wav,1.1.3.wav,1.1.1.wav,1,62,1,f,Passi
63,4.2.3.wav,3.2.5.wav,4.2.5.wav,1,63,1,f,Passi
