,A,B,X,flip_order,order,repeats,response,subject
0,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,0,3,f,Patty
1,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,1,2,l,Patty
2,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,2,1,f,Patty
3,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,3,1,f,Patty
4,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,4,1,f,Patty
5,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,5,2,l,Patty
6,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,6,1,f,Patty
7,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,7,2,f,Patty
8,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,8,2,l,Patty
9,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,9,1,f,Patty
10,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,10,1,f,Patty
11,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,11,2,f,Patty
12,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,12,1,f,Patty
13,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,13,2,l,Patty
14,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,14,1,l,Patty
15,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,15,2,f,Patty
16,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,16,1,l,Patty
17,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,17,2,l,Patty
18,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,18,1,l,Patty
19,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,19,1,f,Patty
20,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,20,1,f,Patty
21,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,21,1,l,Patty
22,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,22,1,f,Patty
23,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,23,1,f,Patty
24,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,24,1,l,Patty
25,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,25,2,l,Patty
26,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,26,2,l,Patty
27,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,27,1,f,Patty
28,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,28,2,l,Patty
29,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,29,2,f,Patty
30,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,30,1,f,Patty
31,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,31,1,f,Patty
32,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,32,1,l,Patty
33,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,33,2,l,Patty
34,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,34,1,f,Patty
35,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,35,1,l,Patty
36,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,36,1,f,Patty
37,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,37,1,l,Patty
38,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,38,1,f,Patty
39,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,39,1,f,Patty
40,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,40,1,f,Patty
41,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,41,1,f,Patty
42,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,42,1,l,Patty
43,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,43,1,f,Patty
44,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,44,1,l,Patty
45,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,45,1,f,Patty
46,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,46,1,l,Patty
47,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,47,1,f,Patty
48,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,48,1,f,Patty
49,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,49,1,f,Patty
50,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,50,1,l,Patty
51,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,51,1,l,Patty
52,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,52,1,f,Patty
53,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,53,1,l,Patty
54,2.1.2.wav,1.1.4.wav,2.1.4.wav,1,54,1,f,Patty
55,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,55,1,f,Patty
56,2.2.1.wav,4.2.3.wav,4.2.1.wav,1,56,1,f,Patty
57,2.1.1.wav,2.2.3.wav,2.1.3.wav,1,57,2,l,Patty
58,1.2.3.wav,3.2.5.wav,3.2.3.wav,0,58,1,f,Patty
59,1.2.3.wav,1.1.5.wav,1.1.3.wav,0,59,1,f,Patty
60,3.2.3.wav,4.2.5.wav,4.2.3.wav,0,60,1,f,Patty
61,1.1.2.wav,1.2.4.wav,1.2.2.wav,1,61,1,l,Patty
