,A,B,X,flip_order,order,repeats,response,subject
0,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,0,3,f,Patya
1,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,1,6,f,Patya
2,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,2,3,l,Patya
3,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,3,3,f,Patya
4,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,4,2,f,Patya
5,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,5,1,f,Patya
6,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,6,1,f,Patya
7,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,7,1,f,Patya
8,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,8,1,f,Patya
9,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,9,3,l,Patya
10,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,10,1,f,Patya
11,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,11,1,f,Patya
12,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,12,2,l,Patya
13,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,13,1,l,Patya
14,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,14,1,f,Patya
15,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,15,1,f,Patya
16,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,16,1,f,Patya
17,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,17,1,f,Patya
18,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,18,1,f,Patya
19,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,19,2,l,Patya
20,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,20,1,f,Patya
21,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,21,1,f,Patya
22,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,22,1,f,Patya
23,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,23,1,f,Patya
24,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,24,1,f,Patya
25,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,25,1,f,Patya
26,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,26,1,f,Patya
27,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,27,1,l,Patya
28,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,28,1,f,Patya
29,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,29,3,l,Patya
30,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,30,1,f,Patya
31,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,31,2,f,Patya
32,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,32,3,f,Patya
33,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,33,1,f,Patya
34,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,34,2,f,Patya
35,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,35,1,f,Patya
36,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,36,1,f,Patya
