,A,B,X,flip_order,order,repeats,response,subject
0,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,0,1,l,Peamiri
1,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,1,1,f,Peamiri
2,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,2,1,f,Peamiri
3,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,3,2,l,Peamiri
4,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,4,1,f,Peamiri
5,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,5,1,f,Peamiri
6,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,6,1,l,Peamiri
7,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,7,1,f,Peamiri
8,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,8,1,l,Peamiri
9,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,9,1,f,Peamiri
10,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,10,1,l,Peamiri
11,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,11,1,f,Peamiri
12,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,12,1,f,Peamiri
13,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,13,1,l,Peamiri
14,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,14,1,l,Peamiri
15,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,15,1,f,Peamiri
16,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,16,1,l,Peamiri
17,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,17,1,l,Peamiri
18,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,18,2,f,Peamiri
19,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,19,1,f,Peamiri
20,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,20,1,f,Peamiri
21,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,21,1,l,Peamiri
22,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,22,1,l,Peamiri
23,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,23,1,f,Peamiri
24,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,24,1,f,Peamiri
25,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,25,1,f,Peamiri
26,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,26,1,f,Peamiri
27,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,27,1,f,Peamiri
28,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,28,2,f,Peamiri
29,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,29,1,l,Peamiri
30,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,30,1,l,Peamiri
31,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,31,1,l,Peamiri
32,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,32,1,l,Peamiri
33,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,33,1,f,Peamiri
34,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,34,2,f,Peamiri
35,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,35,1,l,Peamiri
