,A,B,X,flip_order,order,repeats,response,subject
0,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,0,5,f,Pokjati
1,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,1,1,l,Pokjati
2,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,2,1,f,Pokjati
3,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,3,2,f,Pokjati
4,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,4,1,l,Pokjati
5,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,5,1,f,Pokjati
6,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,6,1,f,Pokjati
7,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,7,1,f,Pokjati
8,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,8,1,l,Pokjati
9,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,9,1,l,Pokjati
10,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,10,1,f,Pokjati
11,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,11,1,l,Pokjati
12,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,12,1,f,Pokjati
13,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,13,1,l,Pokjati
14,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,14,1,f,Pokjati
15,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,15,1,f,Pokjati
16,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,16,1,l,Pokjati
17,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,17,1,f,Pokjati
18,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,18,1,l,Pokjati
19,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,19,1,f,Pokjati
20,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,20,1,l,Pokjati
21,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,21,1,l,Pokjati
22,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,22,1,f,Pokjati
23,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,23,1,l,Pokjati
24,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,24,1,f,Pokjati
25,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,25,1,l,Pokjati
26,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,26,2,l,Pokjati
27,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,27,1,l,Pokjati
28,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,28,1,l,Pokjati
29,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,29,1,l,Pokjati
30,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,30,1,f,Pokjati
31,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,31,1,l,Pokjati
32,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,32,1,f,Pokjati
33,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,33,1,l,Pokjati
34,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,34,1,f,Pokjati
35,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,35,1,l,Pokjati
36,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,36,1,f,Pokjati
37,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,37,1,l,Pokjati
38,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,38,1,f,Pokjati
39,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,39,1,l,Pokjati
40,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,40,1,f,Pokjati
41,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,41,1,l,Pokjati
42,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,42,1,f,Pokjati
43,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,43,1,l,Pokjati
44,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,44,1,l,Pokjati
45,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,45,1,f,Pokjati
46,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,46,1,l,Pokjati
47,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,47,1,f,Pokjati
48,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,48,1,l,Pokjati
49,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,49,1,f,Pokjati
50,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,50,1,l,Pokjati
51,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,51,1,f,Pokjati
52,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,52,1,l,Pokjati
53,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,53,1,l,Pokjati
54,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,54,1,f,Pokjati
55,1.1.1.wav,2.1.3.wav,2.1.1.wav,1,55,1,l,Pokjati
56,3.1.1.wav,1.1.3.wav,3.1.3.wav,1,56,1,f,Pokjati
57,1.2.2.wav,3.2.4.wav,1.2.4.wav,1,57,1,f,Pokjati
58,1.1.1.wav,1.2.3.wav,1.2.1.wav,1,58,1,l,Pokjati
59,1.2.2.wav,1.1.4.wav,1.2.4.wav,1,59,1,f,Pokjati
60,4.1.1.wav,2.1.3.wav,4.1.3.wav,1,60,1,l,Pokjati
61,3.2.1.wav,4.2.3.wav,3.2.3.wav,0,61,1,f,Pokjati
62,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,62,1,l,Pokjati
63,4.1.3.wav,2.1.5.wav,4.1.5.wav,0,63,1,f,Pokjati
64,4.2.2.wav,2.2.4.wav,4.2.4.wav,1,64,1,l,Pokjati
65,4.2.2.wav,2.2.4.wav,2.2.2.wav,0,65,1,l,Pokjati
66,2.1.1.wav,4.1.3.wav,4.1.1.wav,1,66,1,f,Pokjati
67,3.2.2.wav,3.1.4.wav,3.1.2.wav,1,67,1,f,Pokjati
68,3.1.2.wav,4.1.4.wav,3.1.4.wav,0,68,1,f,Pokjati
69,4.2.1.wav,4.1.3.wav,4.2.3.wav,1,69,1,l,Pokjati
70,1.2.1.wav,2.2.3.wav,2.2.1.wav,1,70,1,f,Pokjati
71,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,71,1,l,Pokjati
72,4.1.2.wav,4.2.4.wav,4.2.2.wav,0,72,2,f,Pokjati
73,1.2.1.wav,1.1.3.wav,1.2.3.wav,1,73,1,l,Pokjati
