,A,B,X,flip_order,order,repeats,response,subject
0,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,0,5,f,Prinkre
1,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,1,2,f,Prinkre
2,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,2,1,l,Prinkre
3,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,3,3,l,Prinkre
4,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,4,2,f,Prinkre
5,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,5,1,f,Prinkre
6,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,6,1,l,Prinkre
7,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,7,1,l,Prinkre
8,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,8,1,f,Prinkre
9,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,9,1,l,Prinkre
10,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,10,1,l,Prinkre
11,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,11,1,f,Prinkre
12,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,12,1,l,Prinkre
13,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,13,1,f,Prinkre
14,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,14,1,l,Prinkre
15,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,15,1,f,Prinkre
16,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,16,1,f,Prinkre
17,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,17,1,l,Prinkre
18,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,18,1,l,Prinkre
19,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,19,1,l,Prinkre
20,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,20,1,l,Prinkre
21,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,21,1,f,Prinkre
22,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,22,1,l,Prinkre
23,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,23,1,f,Prinkre
24,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,24,1,l,Prinkre
25,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,25,1,f,Prinkre
26,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,26,1,f,Prinkre
27,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,27,1,l,Prinkre
28,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,28,1,f,Prinkre
29,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,29,1,f,Prinkre
30,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,30,1,l,Prinkre
31,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,31,1,l,Prinkre
32,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,32,1,l,Prinkre
33,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,33,1,l,Prinkre
34,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,34,1,f,Prinkre
35,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,35,1,f,Prinkre
36,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,36,1,l,Prinkre
37,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,37,1,l,Prinkre
38,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,38,1,f,Prinkre
39,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,39,1,l,Prinkre
40,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,40,1,f,Prinkre
41,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,41,1,l,Prinkre
42,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,42,1,f,Prinkre
43,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,43,1,l,Prinkre
44,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,44,1,l,Prinkre
45,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,45,1,l,Prinkre
46,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,46,1,f,Prinkre
47,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,47,1,l,Prinkre
48,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,48,1,l,Prinkre
49,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,49,1,f,Prinkre
50,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,50,1,l,Prinkre
51,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,51,1,f,Prinkre
52,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,52,1,l,Prinkre
53,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,53,1,l,Prinkre
54,4.1.3.wav,2.1.5.wav,4.1.5.wav,1,54,1,f,Prinkre
55,3.2.2.wav,3.1.4.wav,3.1.2.wav,0,55,1,l,Prinkre
56,3.1.1.wav,1.1.3.wav,1.1.1.wav,0,56,1,l,Prinkre
57,4.1.3.wav,2.1.5.wav,2.1.3.wav,0,57,1,l,Prinkre
58,3.1.2.wav,3.2.4.wav,3.2.2.wav,0,58,1,l,Prinkre
59,4.1.3.wav,3.1.5.wav,4.1.5.wav,0,59,1,l,Prinkre
60,1.2.1.wav,2.2.3.wav,1.2.3.wav,1,60,1,l,Prinkre
61,4.2.3.wav,4.1.5.wav,4.1.3.wav,0,61,1,l,Prinkre
62,3.2.2.wav,1.2.4.wav,1.2.2.wav,0,62,1,f,Prinkre
63,1.1.3.wav,3.1.5.wav,1.1.5.wav,1,63,1,l,Prinkre
64,4.1.1.wav,2.1.3.wav,4.1.3.wav,1,64,1,f,Prinkre
65,1.2.1.wav,2.2.3.wav,2.2.1.wav,1,65,1,l,Prinkre
66,3.1.3.wav,1.1.5.wav,1.1.3.wav,0,66,1,l,Prinkre
67,3.2.2.wav,4.2.4.wav,3.2.4.wav,1,67,1,l,Prinkre
68,2.2.2.wav,1.2.4.wav,2.2.4.wav,1,68,1,l,Prinkre
69,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,69,1,l,Prinkre
70,4.2.2.wav,4.1.4.wav,4.1.2.wav,0,70,1,l,Prinkre
71,1.1.2.wav,2.1.4.wav,2.1.2.wav,1,71,1,l,Prinkre
72,4.2.2.wav,3.2.4.wav,3.2.2.wav,0,72,1,f,Prinkre
73,2.2.1.wav,4.2.3.wav,4.2.1.wav,1,73,1,l,Prinkre
74,3.1.2.wav,1.1.4.wav,3.1.4.wav,0,74,1,l,Prinkre
75,2.1.1.wav,1.1.3.wav,2.1.3.wav,0,75,1,f,Prinkre
76,3.1.3.wav,4.1.5.wav,4.1.3.wav,1,76,1,l,Prinkre
77,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,77,1,f,Prinkre
78,2.2.1.wav,4.2.3.wav,2.2.3.wav,1,78,1,l,Prinkre
79,2.1.3.wav,1.1.5.wav,1.1.3.wav,0,79,1,f,Prinkre
80,2.1.1.wav,2.2.3.wav,2.1.3.wav,0,80,1,f,Prinkre
81,4.1.1.wav,3.1.3.wav,4.1.3.wav,0,81,1,l,Prinkre
82,4.2.1.wav,2.2.3.wav,2.2.1.wav,1,82,1,l,Prinkre
83,3.2.3.wav,3.1.5.wav,3.1.3.wav,1,83,1,f,Prinkre
84,1.1.2.wav,2.1.4.wav,1.1.4.wav,1,84,1,l,Prinkre
85,2.1.3.wav,2.2.5.wav,2.1.5.wav,0,85,1,f,Prinkre
86,3.2.2.wav,3.1.4.wav,3.2.4.wav,1,86,1,l,Prinkre
87,1.1.2.wav,1.2.4.wav,1.2.2.wav,0,87,1,f,Prinkre
88,3.1.1.wav,3.2.3.wav,3.2.1.wav,1,88,1,l,Prinkre
89,2.2.2.wav,4.2.4.wav,2.2.4.wav,1,89,1,l,Prinkre
90,2.2.1.wav,2.1.3.wav,2.1.1.wav,1,90,1,f,Prinkre
91,1.2.2.wav,3.2.4.wav,3.2.2.wav,0,91,1,f,Prinkre
92,4.2.3.wav,3.2.5.wav,3.2.3.wav,1,92,1,l,Prinkre
93,3.1.3.wav,3.2.5.wav,3.2.3.wav,0,93,1,f,Prinkre
94,1.1.2.wav,3.1.4.wav,3.1.2.wav,1,94,1,l,Prinkre
95,2.2.3.wav,4.2.5.wav,4.2.3.wav,0,95,2,f,Prinkre
96,2.1.3.wav,1.1.5.wav,2.1.5.wav,1,96,1,f,Prinkre
97,1.1.3.wav,1.2.5.wav,1.2.3.wav,1,97,1,l,Prinkre
98,4.1.2.wav,2.1.4.wav,4.1.4.wav,1,98,1,f,Prinkre
99,2.1.2.wav,4.1.4.wav,2.1.4.wav,1,99,1,f,Prinkre
100,4.1.1.wav,4.2.3.wav,4.2.1.wav,1,100,1,f,Prinkre
101,3.2.3.wav,3.1.5.wav,3.2.5.wav,0,101,1,l,Prinkre
102,3.1.1.wav,1.1.3.wav,3.1.3.wav,1,102,1,f,Prinkre
103,1.2.3.wav,2.2.5.wav,1.2.5.wav,0,103,1,f,Prinkre
104,1.2.3.wav,1.1.5.wav,1.2.5.wav,0,104,1,f,Prinkre
105,1.1.2.wav,1.2.4.wav,1.1.4.wav,0,105,1,l,Prinkre
