,A,B,X,flip_order,order,repeats,response,subject
0,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,0,3,f,Pritty
1,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,1,1,l,Pritty
2,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,2,1,f,Pritty
3,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,3,1,f,Pritty
4,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,4,1,l,Pritty
5,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,5,1,l,Pritty
6,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,6,1,f,Pritty
7,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,7,1,f,Pritty
8,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,8,1,l,Pritty
9,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,9,1,f,Pritty
10,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,10,1,f,Pritty
11,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,11,1,l,Pritty
12,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,12,1,f,Pritty
13,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,13,1,f,Pritty
14,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,14,1,f,Pritty
15,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,15,1,l,Pritty
16,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,16,1,f,Pritty
17,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,17,1,l,Pritty
18,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,18,1,l,Pritty
19,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,19,1,l,Pritty
20,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,20,1,f,Pritty
21,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,21,1,f,Pritty
22,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,22,1,f,Pritty
23,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,23,1,f,Pritty
24,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,24,1,f,Pritty
25,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,25,1,l,Pritty
26,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,26,1,f,Pritty
27,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,27,1,f,Pritty
28,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,28,1,l,Pritty
29,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,29,1,f,Pritty
30,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,30,1,f,Pritty
31,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,31,1,l,Pritty
32,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,32,1,f,Pritty
33,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,33,1,f,Pritty
34,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,34,1,f,Pritty
35,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,35,1,l,Pritty
36,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,36,1,f,Pritty
37,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,37,1,l,Pritty
38,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,38,1,l,Pritty
39,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,39,1,f,Pritty
40,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,40,1,l,Pritty
41,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,41,1,l,Pritty
42,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,42,1,l,Pritty
43,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,43,1,l,Pritty
44,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,44,1,f,Pritty
45,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,45,1,l,Pritty
46,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,46,1,f,Pritty
47,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,47,1,f,Pritty
48,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,48,1,l,Pritty
49,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,49,1,f,Pritty
50,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,50,1,f,Pritty
