,A,B,X,flip_order,order,repeats,response,subject
0,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,0,7,f,Pukjora
1,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,1,3,l,Pukjora
2,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,2,2,l,Pukjora
3,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,3,2,f,Pukjora
4,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,4,5,f,Pukjora
5,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,5,3,l,Pukjora
6,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,6,2,f,Pukjora
7,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,7,2,f,Pukjora
8,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,8,1,l,Pukjora
9,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,9,1,f,Pukjora
10,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,10,1,l,Pukjora
11,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,11,1,l,Pukjora
12,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,12,2,l,Pukjora
13,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,13,1,f,Pukjora
14,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,14,1,f,Pukjora
15,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,15,1,l,Pukjora
16,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,16,1,f,Pukjora
17,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,17,1,l,Pukjora
18,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,18,3,l,Pukjora
19,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,19,1,l,Pukjora
20,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,20,1,l,Pukjora
21,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,21,1,l,Pukjora
22,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,22,1,f,Pukjora
23,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,23,2,f,Pukjora
24,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,24,2,f,Pukjora
25,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,25,1,f,Pukjora
26,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,26,1,l,Pukjora
27,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,27,1,f,Pukjora
28,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,28,1,f,Pukjora
29,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,29,3,l,Pukjora
30,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,30,3,f,Pukjora
31,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,31,1,f,Pukjora
32,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,32,1,f,Pukjora
33,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,33,1,l,Pukjora
34,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,34,1,f,Pukjora
35,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,35,1,f,Pukjora
36,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,36,1,f,Pukjora
37,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,37,1,f,Pukjora
38,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,38,1,f,Pukjora
39,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,39,1,f,Pukjora
40,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,40,1,f,Pukjora
41,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,41,1,l,Pukjora
42,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,42,3,f,Pukjora
43,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,43,2,f,Pukjora
44,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,44,1,f,Pukjora
45,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,45,1,l,Pukjora
46,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,46,1,l,Pukjora
47,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,47,1,l,Pukjora
48,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,48,1,f,Pukjora
49,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,49,1,f,Pukjora
50,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,50,1,l,Pukjora
51,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,51,1,f,Pukjora
52,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,52,2,f,Pukjora
53,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,53,2,f,Pukjora
54,1.2.2.wav,3.2.4.wav,1.2.4.wav,0,54,1,f,Pukjora
55,4.2.2.wav,2.2.4.wav,2.2.2.wav,1,55,2,f,Pukjora
56,4.1.3.wav,4.2.5.wav,4.2.3.wav,1,56,2,l,Pukjora
57,1.2.2.wav,2.2.4.wav,2.2.2.wav,0,57,2,f,Pukjora
58,1.2.3.wav,1.1.5.wav,1.2.5.wav,0,58,3,f,Pukjora
59,1.1.2.wav,2.1.4.wav,1.1.4.wav,0,59,2,f,Pukjora
60,2.2.3.wav,4.2.5.wav,4.2.3.wav,1,60,1,f,Pukjora
