,A,B,X,flip_order,order,repeats,response,subject
0,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,0,3,l,Pyjopen
1,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,1,1,l,Pyjopen
2,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,2,1,f,Pyjopen
3,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,3,1,l,Pyjopen
4,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,4,1,f,Pyjopen
5,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,5,1,f,Pyjopen
6,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,6,1,l,Pyjopen
7,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,7,1,l,Pyjopen
8,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,8,1,l,Pyjopen
9,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,9,1,f,Pyjopen
10,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,10,1,l,Pyjopen
11,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,11,1,l,Pyjopen
12,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,12,1,l,Pyjopen
13,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,13,1,l,Pyjopen
14,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,14,1,l,Pyjopen
15,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,15,1,l,Pyjopen
16,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,16,1,f,Pyjopen
17,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,17,1,f,Pyjopen
18,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,18,1,f,Pyjopen
19,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,19,1,l,Pyjopen
20,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,20,1,l,Pyjopen
21,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,21,1,l,Pyjopen
22,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,22,1,l,Pyjopen
23,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,23,1,l,Pyjopen
24,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,24,1,f,Pyjopen
25,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,25,1,f,Pyjopen
26,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,26,1,l,Pyjopen
27,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,27,1,l,Pyjopen
28,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,28,1,l,Pyjopen
29,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,29,1,f,Pyjopen
30,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,30,1,l,Pyjopen
31,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,31,1,l,Pyjopen
32,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,32,1,l,Pyjopen
33,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,33,1,f,Pyjopen
34,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,34,1,l,Pyjopen
35,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,35,1,l,Pyjopen
36,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,36,1,l,Pyjopen
37,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,37,1,l,Pyjopen
38,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,38,1,l,Pyjopen
39,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,39,1,l,Pyjopen
40,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,40,1,l,Pyjopen
41,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,41,1,l,Pyjopen
42,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,42,1,l,Pyjopen
43,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,43,1,f,Pyjopen
44,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,44,1,l,Pyjopen
45,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,45,1,l,Pyjopen
46,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,46,1,f,Pyjopen
47,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,47,1,l,Pyjopen
48,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,48,1,l,Pyjopen
49,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,49,1,f,Pyjopen
50,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,50,1,l,Pyjopen
51,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,51,1,l,Pyjopen
52,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,52,1,l,Pyjopen
53,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,53,1,l,Pyjopen
54,2.1.3.wav,4.1.5.wav,4.1.3.wav,0,54,1,f,Pyjopen
55,1.1.1.wav,3.1.3.wav,1.1.3.wav,1,55,1,f,Pyjopen
56,4.1.3.wav,4.2.5.wav,4.2.3.wav,1,56,1,l,Pyjopen
57,2.1.2.wav,1.1.4.wav,2.1.4.wav,0,57,1,l,Pyjopen
