,A,B,X,flip_order,order,repeats,response,subject
0,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,0,3,l,Saankora
1,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,1,1,f,Saankora
2,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,2,1,f,Saankora
3,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,3,1,f,Saankora
4,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,4,1,f,Saankora
5,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,5,1,l,Saankora
6,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,6,1,l,Saankora
7,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,7,2,l,Saankora
8,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,8,2,f,Saankora
9,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,9,2,l,Saankora
10,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,10,1,l,Saankora
11,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,11,1,f,Saankora
12,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,12,1,l,Saankora
13,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,13,1,f,Saankora
14,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,14,1,l,Saankora
15,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,15,1,f,Saankora
16,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,16,2,f,Saankora
17,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,17,2,l,Saankora
18,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,18,1,f,Saankora
19,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,19,1,f,Saankora
20,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,20,2,l,Saankora
21,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,21,1,f,Saankora
22,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,22,1,f,Saankora
23,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,23,2,f,Saankora
24,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,24,1,f,Saankora
25,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,25,1,f,Saankora
26,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,26,2,l,Saankora
27,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,27,1,f,Saankora
28,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,28,1,f,Saankora
29,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,29,1,l,Saankora
30,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,30,1,l,Saankora
31,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,31,2,l,Saankora
32,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,32,2,l,Saankora
33,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,33,2,l,Saankora
34,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,34,1,f,Saankora
35,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,35,1,f,Saankora
36,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,36,1,l,Saankora
37,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,37,2,l,Saankora
38,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,38,1,f,Saankora
39,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,39,1,f,Saankora
40,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,40,1,l,Saankora
41,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,41,1,f,Saankora
42,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,42,1,l,Saankora
43,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,43,1,f,Saankora
44,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,44,1,f,Saankora
45,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,45,2,f,Saankora
46,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,46,1,f,Saankora
47,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,47,1,f,Saankora
48,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,48,1,f,Saankora
49,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,49,1,f,Saankora
50,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,50,2,l,Saankora
51,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,51,1,l,Saankora
52,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,52,1,f,Saankora
53,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,53,1,f,Saankora
54,3.1.2.wav,4.1.4.wav,4.1.2.wav,0,54,1,f,Saankora
