,A,B,X,flip_order,order,repeats,response,subject
0,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,0,2,f,Saaso
1,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,1,1,l,Saaso
2,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,2,1,f,Saaso
3,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,3,1,l,Saaso
4,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,4,1,f,Saaso
5,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,5,1,l,Saaso
6,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,6,1,f,Saaso
7,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,7,1,l,Saaso
8,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,8,1,f,Saaso
9,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,9,1,l,Saaso
10,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,10,1,f,Saaso
11,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,11,1,l,Saaso
12,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,12,1,f,Saaso
13,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,13,1,l,Saaso
14,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,14,1,f,Saaso
15,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,15,1,l,Saaso
16,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,16,1,f,Saaso
17,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,17,1,l,Saaso
18,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,18,1,f,Saaso
19,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,19,1,l,Saaso
20,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,20,1,f,Saaso
21,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,21,1,l,Saaso
22,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,22,1,f,Saaso
23,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,23,1,l,Saaso
24,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,24,1,f,Saaso
25,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,25,1,l,Saaso
26,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,26,1,f,Saaso
27,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,27,1,l,Saaso
28,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,28,1,f,Saaso
29,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,29,1,l,Saaso
30,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,30,1,f,Saaso
31,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,31,1,l,Saaso
32,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,32,1,f,Saaso
33,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,33,1,l,Saaso
34,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,34,1,f,Saaso
35,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,35,1,l,Saaso
36,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,36,1,f,Saaso
37,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,37,1,l,Saaso
38,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,38,1,f,Saaso
39,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,39,1,l,Saaso
40,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,40,1,f,Saaso
41,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,41,1,l,Saaso
42,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,42,1,f,Saaso
43,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,43,1,l,Saaso
44,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,44,1,f,Saaso
45,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,45,1,l,Saaso
46,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,46,1,f,Saaso
47,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,47,1,l,Saaso
48,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,48,1,f,Saaso
49,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,49,1,l,Saaso
50,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,50,1,f,Saaso
51,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,51,1,l,Saaso
52,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,52,1,f,Saaso
53,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,53,1,l,Saaso
54,3.1.2.wav,3.2.4.wav,3.2.2.wav,1,54,1,f,Saaso
55,1.1.3.wav,3.1.5.wav,3.1.3.wav,0,55,1,l,Saaso
56,2.2.1.wav,4.2.3.wav,2.2.3.wav,0,56,1,f,Saaso
57,4.2.2.wav,2.2.4.wav,2.2.2.wav,1,57,1,l,Saaso
58,2.1.1.wav,1.1.3.wav,2.1.3.wav,0,58,1,f,Saaso
59,3.1.1.wav,3.2.3.wav,3.1.3.wav,0,59,1,l,Saaso
60,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,60,1,f,Saaso
61,4.2.3.wav,4.1.5.wav,4.2.5.wav,0,61,1,l,Saaso
62,1.2.1.wav,2.2.3.wav,1.2.3.wav,0,62,1,f,Saaso
63,1.1.2.wav,3.1.4.wav,1.1.4.wav,0,63,1,l,Saaso
64,1.1.1.wav,2.1.3.wav,2.1.1.wav,1,64,1,f,Saaso
65,1.2.2.wav,2.2.4.wav,1.2.4.wav,1,65,1,l,Saaso
66,4.2.1.wav,3.2.3.wav,3.2.1.wav,1,66,1,f,Saaso
67,3.1.1.wav,3.2.3.wav,3.2.1.wav,1,67,1,l,Saaso
68,3.2.1.wav,1.2.3.wav,1.2.1.wav,1,68,1,f,Saaso
69,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,69,1,l,Saaso
70,2.2.2.wav,4.2.4.wav,4.2.2.wav,0,70,1,f,Saaso
71,2.2.2.wav,1.2.4.wav,2.2.4.wav,0,71,1,l,Saaso
72,2.1.2.wav,2.2.4.wav,2.1.4.wav,0,72,1,f,Saaso
73,1.2.1.wav,3.2.3.wav,3.2.1.wav,1,73,1,l,Saaso
74,1.2.2.wav,3.2.4.wav,3.2.2.wav,0,74,1,f,Saaso
75,1.1.1.wav,2.1.3.wav,1.1.3.wav,1,75,1,l,Saaso
76,4.1.1.wav,3.1.3.wav,3.1.1.wav,1,76,1,f,Saaso
77,2.2.1.wav,2.1.3.wav,2.2.3.wav,1,77,1,l,Saaso
78,3.1.3.wav,3.2.5.wav,3.1.5.wav,0,78,1,f,Saaso
79,1.2.3.wav,1.1.5.wav,1.2.5.wav,0,79,1,l,Saaso
80,3.2.2.wav,1.2.4.wav,1.2.2.wav,0,80,1,f,Saaso
81,2.2.1.wav,1.2.3.wav,1.2.1.wav,1,81,1,l,Saaso
82,3.2.1.wav,4.2.3.wav,3.2.3.wav,1,82,1,f,Saaso
83,3.2.2.wav,3.1.4.wav,3.2.4.wav,1,83,1,l,Saaso
84,3.1.3.wav,1.1.5.wav,1.1.3.wav,0,84,1,f,Saaso
85,4.2.1.wav,2.2.3.wav,2.2.1.wav,1,85,1,l,Saaso
86,2.2.2.wav,2.1.4.wav,2.2.4.wav,1,86,1,f,Saaso
87,2.1.3.wav,2.2.5.wav,2.2.3.wav,1,87,1,l,Saaso
88,3.2.1.wav,3.1.3.wav,3.2.3.wav,1,88,1,f,Saaso
89,3.2.3.wav,1.2.5.wav,3.2.5.wav,0,89,1,l,Saaso
90,3.2.1.wav,3.1.3.wav,3.1.1.wav,1,90,1,f,Saaso
91,4.1.1.wav,2.1.3.wav,4.1.3.wav,1,91,1,l,Saaso
92,3.1.1.wav,4.1.3.wav,4.1.1.wav,0,92,1,f,Saaso
93,3.1.3.wav,4.1.5.wav,4.1.3.wav,1,93,1,l,Saaso
94,4.2.3.wav,3.2.5.wav,3.2.3.wav,1,94,1,f,Saaso
95,4.2.3.wav,3.2.5.wav,4.2.5.wav,0,95,1,l,Saaso
96,1.1.2.wav,2.1.4.wav,1.1.4.wav,1,96,1,f,Saaso
97,4.1.2.wav,3.1.4.wav,3.1.2.wav,1,97,1,l,Saaso
98,4.1.1.wav,3.1.3.wav,4.1.3.wav,0,98,1,f,Saaso
99,4.1.3.wav,2.1.5.wav,2.1.3.wav,0,99,1,l,Saaso
100,1.1.1.wav,1.2.3.wav,1.2.1.wav,0,100,1,f,Saaso
101,3.1.2.wav,1.1.4.wav,1.1.2.wav,0,101,1,l,Saaso
102,4.2.2.wav,3.2.4.wav,3.2.2.wav,0,102,1,f,Saaso
103,1.2.3.wav,2.2.5.wav,1.2.5.wav,1,103,1,l,Saaso
104,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,104,1,f,Saaso
105,4.1.2.wav,4.2.4.wav,4.1.4.wav,1,105,1,l,Saaso
106,4.2.2.wav,2.2.4.wav,4.2.4.wav,1,106,1,f,Saaso
107,2.2.2.wav,1.2.4.wav,1.2.2.wav,1,107,1,l,Saaso
108,4.1.2.wav,2.1.4.wav,2.1.2.wav,0,108,1,f,Saaso
109,1.1.1.wav,3.1.3.wav,3.1.1.wav,1,109,1,l,Saaso
110,1.2.3.wav,2.2.5.wav,2.2.3.wav,1,110,1,f,Saaso
111,1.2.1.wav,1.1.3.wav,1.2.3.wav,0,111,1,l,Saaso
112,3.1.3.wav,1.1.5.wav,3.1.5.wav,0,112,1,f,Saaso
113,4.2.2.wav,4.1.4.wav,4.2.4.wav,0,113,1,l,Saaso
114,3.2.2.wav,4.2.4.wav,3.2.4.wav,1,114,1,f,Saaso
115,3.1.3.wav,3.2.5.wav,3.2.3.wav,0,115,1,l,Saaso
116,3.2.3.wav,4.2.5.wav,4.2.3.wav,1,116,1,f,Saaso
117,1.2.2.wav,3.2.4.wav,1.2.4.wav,0,117,1,l,Saaso
118,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,118,1,f,Saaso
119,2.2.3.wav,2.1.5.wav,2.1.3.wav,1,119,1,f,Saaso
