,A,B,X,flip_order,order,repeats,response,subject
0,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,0,3,f,Sakjera
1,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,1,2,f,Sakjera
2,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,2,2,f,Sakjera
3,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,3,1,l,Sakjera
4,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,4,1,f,Sakjera
5,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,5,1,f,Sakjera
6,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,6,1,l,Sakjera
7,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,7,1,f,Sakjera
8,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,8,1,l,Sakjera
9,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,9,1,f,Sakjera
10,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,10,1,f,Sakjera
11,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,11,2,f,Sakjera
12,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,12,2,f,Sakjera
13,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,13,1,l,Sakjera
14,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,14,1,l,Sakjera
15,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,15,1,f,Sakjera
16,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,16,1,f,Sakjera
17,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,17,1,l,Sakjera
18,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,18,1,l,Sakjera
19,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,19,1,l,Sakjera
20,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,20,1,l,Sakjera
21,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,21,1,f,Sakjera
22,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,22,1,l,Sakjera
23,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,23,1,l,Sakjera
24,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,24,1,l,Sakjera
25,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,25,1,f,Sakjera
26,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,26,1,l,Sakjera
27,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,27,1,l,Sakjera
28,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,28,1,f,Sakjera
29,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,29,1,l,Sakjera
30,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,30,1,l,Sakjera
31,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,31,1,f,Sakjera
32,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,32,1,l,Sakjera
33,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,33,1,l,Sakjera
34,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,34,1,f,Sakjera
35,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,35,1,l,Sakjera
36,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,36,1,l,Sakjera
37,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,37,1,l,Sakjera
38,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,38,2,f,Sakjera
39,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,39,1,l,Sakjera
40,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,40,1,l,Sakjera
41,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,41,1,l,Sakjera
42,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,42,1,f,Sakjera
43,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,43,1,l,Sakjera
44,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,44,1,l,Sakjera
45,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,45,1,l,Sakjera
46,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,46,1,f,Sakjera
47,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,47,2,f,Sakjera
48,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,48,1,f,Sakjera
49,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,49,1,l,Sakjera
50,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,50,1,f,Sakjera
51,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,51,1,l,Sakjera
52,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,52,1,l,Sakjera
53,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,53,1,f,Sakjera
54,2.2.1.wav,4.2.3.wav,4.2.1.wav,1,54,1,l,Sakjera
55,1.2.2.wav,3.2.4.wav,3.2.2.wav,0,55,1,l,Sakjera
56,1.2.3.wav,3.2.5.wav,1.2.5.wav,0,56,1,l,Sakjera
57,2.1.2.wav,4.1.4.wav,4.1.2.wav,1,57,1,l,Sakjera
58,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,58,1,l,Sakjera
59,1.2.3.wav,2.2.5.wav,1.2.5.wav,1,59,1,f,Sakjera
60,4.2.1.wav,4.1.3.wav,4.2.3.wav,0,60,1,l,Sakjera
61,1.2.1.wav,1.1.3.wav,1.2.3.wav,1,61,1,l,Sakjera
62,2.2.3.wav,4.2.5.wav,2.2.5.wav,1,62,2,f,Sakjera
63,1.2.3.wav,3.2.5.wav,3.2.3.wav,1,63,1,l,Sakjera
64,2.1.1.wav,4.1.3.wav,4.1.1.wav,0,64,1,l,Sakjera
