,A,B,X,flip_order,order,repeats,response,subject
0,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,0,3,l,Sakjykjy
1,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,1,2,l,Sakjykjy
2,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,2,2,f,Sakjykjy
3,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,3,1,l,Sakjykjy
4,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,4,1,l,Sakjykjy
5,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,5,1,f,Sakjykjy
6,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,6,1,l,Sakjykjy
7,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,7,1,f,Sakjykjy
8,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,8,1,f,Sakjykjy
9,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,9,1,f,Sakjykjy
10,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,10,1,f,Sakjykjy
11,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,11,1,l,Sakjykjy
12,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,12,1,f,Sakjykjy
13,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,13,1,f,Sakjykjy
14,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,14,1,f,Sakjykjy
15,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,15,1,f,Sakjykjy
16,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,16,1,f,Sakjykjy
17,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,17,1,f,Sakjykjy
18,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,18,1,f,Sakjykjy
19,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,19,1,f,Sakjykjy
20,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,20,1,f,Sakjykjy
21,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,21,1,l,Sakjykjy
22,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,22,1,f,Sakjykjy
23,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,23,1,f,Sakjykjy
24,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,24,1,f,Sakjykjy
25,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,25,1,f,Sakjykjy
26,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,26,1,l,Sakjykjy
27,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,27,1,l,Sakjykjy
28,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,28,1,l,Sakjykjy
29,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,29,1,l,Sakjykjy
30,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,30,1,f,Sakjykjy
31,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,31,1,f,Sakjykjy
32,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,32,1,f,Sakjykjy
33,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,33,1,f,Sakjykjy
34,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,34,1,f,Sakjykjy
