,A,B,X,flip_order,order,repeats,response,subject
0,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,0,3,f,Sarea
1,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,1,2,l,Sarea
2,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,2,5,l,Sarea
3,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,3,3,l,Sarea
4,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,4,2,l,Sarea
5,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,5,1,l,Sarea
6,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,6,1,l,Sarea
7,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,7,2,l,Sarea
8,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,8,1,l,Sarea
9,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,9,2,l,Sarea
10,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,10,1,l,Sarea
11,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,11,2,l,Sarea
12,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,12,2,l,Sarea
13,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,13,1,l,Sarea
14,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,14,2,l,Sarea
15,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,15,2,l,Sarea
16,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,16,1,l,Sarea
17,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,17,1,l,Sarea
18,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,18,1,l,Sarea
19,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,19,1,l,Sarea
20,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,20,2,l,Sarea
21,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,21,2,l,Sarea
22,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,22,1,l,Sarea
23,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,23,1,l,Sarea
24,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,24,2,l,Sarea
25,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,25,1,l,Sarea
26,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,26,2,l,Sarea
27,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,27,1,l,Sarea
28,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,28,2,l,Sarea
29,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,29,1,l,Sarea
30,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,30,1,l,Sarea
31,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,31,1,l,Sarea
32,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,32,1,l,Sarea
33,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,33,1,l,Sarea
34,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,34,1,l,Sarea
35,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,35,1,l,Sarea
36,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,36,1,l,Sarea
37,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,37,1,l,Sarea
38,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,38,1,l,Sarea
39,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,39,1,l,Sarea
40,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,40,1,l,Sarea
41,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,41,1,l,Sarea
42,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,42,1,l,Sarea
43,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,43,1,l,Sarea
44,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,44,1,l,Sarea
45,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,45,1,l,Sarea
46,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,46,2,l,Sarea
47,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,47,1,l,Sarea
48,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,48,1,l,Sarea
49,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,49,2,l,Sarea
50,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,50,1,l,Sarea
51,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,51,1,l,Sarea
52,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,52,1,l,Sarea
53,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,53,1,l,Sarea
54,3.2.3.wav,4.2.5.wav,4.2.3.wav,1,54,2,l,Sarea
55,1.1.1.wav,1.2.3.wav,1.1.3.wav,0,55,1,l,Sarea
56,4.1.3.wav,2.1.5.wav,4.1.5.wav,1,56,1,l,Sarea
57,4.2.3.wav,2.2.5.wav,4.2.5.wav,0,57,2,l,Sarea
58,1.2.3.wav,1.1.5.wav,1.2.5.wav,0,58,1,l,Sarea
59,4.1.2.wav,3.1.4.wav,4.1.4.wav,0,59,1,l,Sarea
60,4.1.3.wav,4.2.5.wav,4.2.3.wav,0,60,2,l,Sarea
61,4.1.1.wav,2.1.3.wav,4.1.3.wav,0,61,1,l,Sarea
62,3.1.1.wav,1.1.3.wav,3.1.3.wav,0,62,1,l,Sarea
63,1.2.2.wav,2.2.4.wav,2.2.2.wav,0,63,1,l,Sarea
64,4.2.2.wav,4.1.4.wav,4.2.4.wav,0,64,1,l,Sarea
65,2.1.1.wav,2.2.3.wav,2.2.1.wav,1,65,1,l,Sarea
66,3.2.3.wav,1.2.5.wav,3.2.5.wav,0,66,1,l,Sarea
67,4.1.1.wav,4.2.3.wav,4.2.1.wav,0,67,1,l,Sarea
68,2.2.3.wav,4.2.5.wav,2.2.5.wav,1,68,1,l,Sarea
69,2.2.1.wav,2.1.3.wav,2.1.1.wav,1,69,1,l,Sarea
70,3.2.3.wav,3.1.5.wav,3.1.3.wav,1,70,2,l,Sarea
71,2.1.1.wav,4.1.3.wav,4.1.1.wav,1,71,1,l,Sarea
72,3.2.2.wav,1.2.4.wav,3.2.4.wav,1,72,1,l,Sarea
73,2.2.2.wav,1.2.4.wav,1.2.2.wav,1,73,2,l,Sarea
74,2.1.3.wav,2.2.5.wav,2.1.5.wav,1,74,1,l,Sarea
75,3.1.3.wav,1.1.5.wav,3.1.5.wav,1,75,1,l,Sarea
76,1.2.3.wav,3.2.5.wav,3.2.3.wav,1,76,1,l,Sarea
77,3.1.3.wav,3.2.5.wav,3.2.3.wav,0,77,1,l,Sarea
78,1.1.1.wav,2.1.3.wav,2.1.1.wav,0,78,1,l,Sarea
79,1.1.2.wav,3.1.4.wav,3.1.2.wav,0,79,1,l,Sarea
80,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,80,2,l,Sarea
81,4.2.1.wav,3.2.3.wav,3.2.1.wav,1,81,2,l,Sarea
82,3.2.1.wav,3.1.3.wav,3.1.1.wav,0,82,1,l,Sarea
83,3.2.2.wav,4.2.4.wav,3.2.4.wav,0,83,1,l,Sarea
84,3.1.3.wav,4.1.5.wav,3.1.5.wav,0,84,1,l,Sarea
85,3.1.2.wav,4.1.4.wav,4.1.2.wav,1,85,1,l,Sarea
86,3.2.1.wav,1.2.3.wav,3.2.3.wav,0,86,1,l,Sarea
87,2.2.1.wav,4.2.3.wav,2.2.3.wav,1,87,1,l,Sarea
88,3.2.2.wav,1.2.4.wav,1.2.2.wav,1,88,1,l,Sarea
89,3.1.3.wav,1.1.5.wav,1.1.3.wav,0,89,1,l,Sarea
90,1.1.3.wav,3.1.5.wav,3.1.3.wav,0,90,1,l,Sarea
91,4.2.2.wav,2.2.4.wav,4.2.4.wav,0,91,2,l,Sarea
92,4.2.1.wav,4.1.3.wav,4.2.3.wav,0,92,1,l,Sarea
93,2.1.1.wav,4.1.3.wav,2.1.3.wav,1,93,1,l,Sarea
94,1.2.3.wav,2.2.5.wav,1.2.5.wav,1,94,1,l,Sarea
95,1.1.2.wav,1.2.4.wav,1.2.2.wav,1,95,1,f,Sarea
96,2.2.1.wav,2.1.3.wav,2.2.3.wav,0,96,1,f,Sarea
97,4.1.3.wav,4.2.5.wav,4.1.5.wav,0,97,2,l,Sarea
98,2.2.2.wav,2.1.4.wav,2.2.4.wav,1,98,1,l,Sarea
99,4.1.3.wav,3.1.5.wav,4.1.5.wav,0,99,1,l,Sarea
100,3.1.2.wav,3.2.4.wav,3.1.4.wav,1,100,1,l,Sarea
101,3.1.2.wav,1.1.4.wav,3.1.4.wav,0,101,2,l,Sarea
102,2.2.3.wav,2.1.5.wav,2.2.5.wav,1,102,1,l,Sarea
103,2.1.1.wav,1.1.3.wav,1.1.1.wav,1,103,1,l,Sarea
104,4.1.1.wav,2.1.3.wav,2.1.1.wav,0,104,2,l,Sarea
105,1.2.1.wav,2.2.3.wav,2.2.1.wav,0,105,2,l,Sarea
106,3.1.1.wav,3.2.3.wav,3.2.1.wav,1,106,1,l,Sarea
107,2.2.1.wav,1.2.3.wav,1.2.1.wav,0,107,2,l,Sarea
108,1.2.2.wav,2.2.4.wav,1.2.4.wav,0,108,1,l,Sarea
109,1.2.2.wav,3.2.4.wav,3.2.2.wav,1,109,2,l,Sarea
110,3.1.3.wav,4.1.5.wav,4.1.3.wav,1,110,1,l,Sarea
111,1.2.1.wav,3.2.3.wav,1.2.3.wav,0,111,1,l,Sarea
112,2.1.2.wav,1.1.4.wav,2.1.4.wav,1,112,1,l,Sarea
113,2.1.3.wav,2.2.5.wav,2.2.3.wav,1,113,1,l,Sarea
114,4.1.1.wav,4.2.3.wav,4.1.3.wav,1,114,1,l,Sarea
115,1.2.1.wav,1.1.3.wav,1.1.1.wav,0,115,1,l,Sarea
116,1.1.2.wav,3.1.4.wav,1.1.4.wav,0,116,1,l,Sarea
117,1.2.3.wav,1.1.5.wav,1.1.3.wav,1,117,1,l,Sarea
118,2.1.2.wav,1.1.4.wav,1.1.2.wav,0,118,1,l,Sarea
119,4.2.1.wav,4.1.3.wav,4.1.1.wav,1,119,1,l,Sarea
120,1.1.2.wav,2.1.4.wav,2.1.2.wav,1,120,1,l,Sarea
121,2.1.3.wav,1.1.5.wav,2.1.5.wav,0,121,2,l,Sarea
122,3.1.2.wav,1.1.4.wav,1.1.2.wav,0,122,1,l,Sarea
123,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,123,1,l,Sarea
124,3.2.1.wav,3.1.3.wav,3.2.3.wav,0,124,2,l,Sarea
125,2.2.3.wav,1.2.5.wav,1.2.3.wav,1,125,1,l,Sarea
126,2.2.3.wav,4.2.5.wav,4.2.3.wav,0,126,1,l,Sarea
127,4.1.1.wav,3.1.3.wav,3.1.1.wav,0,127,2,l,Sarea
128,1.2.2.wav,3.2.4.wav,1.2.4.wav,0,128,2,l,Sarea
129,1.1.2.wav,2.1.4.wav,1.1.4.wav,1,129,1,l,Sarea
130,2.1.1.wav,1.1.3.wav,2.1.3.wav,0,130,1,l,Sarea
131,3.1.1.wav,1.1.3.wav,1.1.1.wav,1,131,2,l,Sarea
132,2.2.3.wav,1.2.5.wav,2.2.5.wav,1,132,2,l,Sarea
133,3.2.1.wav,1.2.3.wav,1.2.1.wav,0,133,1,l,Sarea
134,3.1.3.wav,3.2.5.wav,3.1.5.wav,1,134,1,l,Sarea
135,2.2.1.wav,1.2.3.wav,2.2.3.wav,1,135,1,l,Sarea
136,4.1.2.wav,2.1.4.wav,2.1.2.wav,0,136,2,l,Sarea
137,3.2.1.wav,4.2.3.wav,4.2.1.wav,1,137,1,l,Sarea
138,1.2.3.wav,3.2.5.wav,1.2.5.wav,0,138,2,l,Sarea
139,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,139,1,l,Sarea
140,2.2.1.wav,4.2.3.wav,4.2.1.wav,0,140,2,l,Sarea
141,2.1.3.wav,4.1.5.wav,4.1.3.wav,1,141,1,l,Sarea
142,4.1.2.wav,3.1.4.wav,3.1.2.wav,0,142,2,l,Sarea
143,3.2.2.wav,3.1.4.wav,3.2.4.wav,1,143,1,l,Sarea
144,1.2.1.wav,1.1.3.wav,1.2.3.wav,0,144,3,l,Sarea
145,1.1.1.wav,3.1.3.wav,1.1.3.wav,0,145,1,l,Sarea
146,4.2.3.wav,4.1.5.wav,4.2.5.wav,0,146,1,l,Sarea
147,3.2.3.wav,3.1.5.wav,3.2.5.wav,0,147,1,l,Sarea
148,4.2.1.wav,3.2.3.wav,4.2.3.wav,1,148,1,l,Sarea
149,1.1.1.wav,1.2.3.wav,1.2.1.wav,0,149,1,l,Sarea
150,1.1.3.wav,2.1.5.wav,1.1.5.wav,1,150,2,l,Sarea
151,3.1.2.wav,3.2.4.wav,3.2.2.wav,1,151,1,l,Sarea
152,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,152,1,l,Sarea
153,3.1.1.wav,4.1.3.wav,3.1.3.wav,0,153,1,l,Sarea
154,2.2.2.wav,4.2.4.wav,4.2.2.wav,1,154,2,l,Sarea
155,1.1.3.wav,2.1.5.wav,2.1.3.wav,1,155,1,l,Sarea
156,4.2.3.wav,2.2.5.wav,2.2.3.wav,0,156,2,l,Sarea
157,3.2.3.wav,1.2.5.wav,1.2.3.wav,1,157,1,l,Sarea
