,A,B,X,flip_order,order,repeats,response,subject
0,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,0,2,f,Seewa
1,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,1,4,f,Seewa
2,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,2,8,l,Seewa
3,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,3,10,l,Seewa
4,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,4,1,f,Seewa
5,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,5,1,f,Seewa
6,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,6,1,f,Seewa
7,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,7,1,f,Seewa
8,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,8,1,f,Seewa
9,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,9,1,f,Seewa
10,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,10,1,f,Seewa
11,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,11,3,f,Seewa
12,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,12,1,l,Seewa
13,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,13,1,f,Seewa
14,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,14,1,f,Seewa
15,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,15,1,l,Seewa
16,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,16,1,f,Seewa
17,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,17,1,f,Seewa
18,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,18,1,f,Seewa
19,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,19,1,f,Seewa
20,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,20,1,l,Seewa
21,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,21,1,f,Seewa
22,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,22,1,f,Seewa
23,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,23,1,l,Seewa
24,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,24,2,f,Seewa
25,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,25,1,f,Seewa
26,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,26,2,f,Seewa
27,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,27,1,l,Seewa
28,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,28,1,l,Seewa
29,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,29,2,f,Seewa
30,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,30,1,f,Seewa
31,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,31,1,f,Seewa
32,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,32,1,l,Seewa
33,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,33,1,f,Seewa
34,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,34,1,f,Seewa
35,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,35,1,f,Seewa
36,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,36,1,f,Seewa
37,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,37,1,l,Seewa
38,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,38,1,l,Seewa
39,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,39,1,l,Seewa
40,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,40,1,f,Seewa
41,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,41,1,f,Seewa
42,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,42,1,l,Seewa
43,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,43,1,f,Seewa
44,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,44,1,l,Seewa
45,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,45,1,f,Seewa
46,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,46,1,l,Seewa
47,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,47,1,f,Seewa
48,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,48,1,l,Seewa
49,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,49,1,l,Seewa
50,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,50,1,f,Seewa
51,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,51,1,l,Seewa
52,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,52,1,f,Seewa
53,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,53,1,l,Seewa
54,4.2.3.wav,3.2.5.wav,3.2.3.wav,1,54,1,f,Seewa
55,3.2.3.wav,3.1.5.wav,3.1.3.wav,0,55,1,l,Seewa
56,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,56,1,l,Seewa
57,3.2.2.wav,1.2.4.wav,3.2.4.wav,0,57,1,f,Seewa
58,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,58,1,l,Seewa
59,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,59,1,f,Seewa
60,1.1.3.wav,3.1.5.wav,1.1.5.wav,1,60,1,l,Seewa
61,3.2.3.wav,1.2.5.wav,1.2.3.wav,1,61,1,f,Seewa
62,4.2.1.wav,4.1.3.wav,4.2.3.wav,1,62,1,l,Seewa
63,1.1.1.wav,3.1.3.wav,3.1.1.wav,1,63,1,f,Seewa
64,2.2.3.wav,1.2.5.wav,2.2.5.wav,1,64,1,l,Seewa
65,3.2.2.wav,3.1.4.wav,3.2.4.wav,1,65,1,f,Seewa
66,2.2.2.wav,1.2.4.wav,1.2.2.wav,1,66,1,l,Seewa
67,3.1.3.wav,1.1.5.wav,3.1.5.wav,0,67,1,f,Seewa
68,2.1.2.wav,1.1.4.wav,1.1.2.wav,1,68,1,l,Seewa
69,1.1.1.wav,2.1.3.wav,2.1.1.wav,1,69,1,l,Seewa
70,1.1.2.wav,2.1.4.wav,2.1.2.wav,1,70,1,l,Seewa
71,4.2.2.wav,4.1.4.wav,4.2.4.wav,1,71,1,f,Seewa
72,4.1.2.wav,4.2.4.wav,4.2.2.wav,0,72,1,f,Seewa
73,1.2.3.wav,3.2.5.wav,3.2.3.wav,0,73,1,l,Seewa
74,1.2.2.wav,3.2.4.wav,3.2.2.wav,1,74,1,f,Seewa
75,2.1.1.wav,1.1.3.wav,1.1.1.wav,0,75,1,f,Seewa
76,2.2.3.wav,4.2.5.wav,2.2.5.wav,1,76,1,l,Seewa
77,4.2.1.wav,2.2.3.wav,2.2.1.wav,0,77,1,l,Seewa
78,4.1.3.wav,2.1.5.wav,4.1.5.wav,1,78,1,f,Seewa
79,3.1.2.wav,4.1.4.wav,3.1.4.wav,1,79,1,l,Seewa
80,2.2.3.wav,1.2.5.wav,1.2.3.wav,0,80,1,l,Seewa
81,3.2.2.wav,1.2.4.wav,1.2.2.wav,0,81,1,f,Seewa
82,4.2.1.wav,4.1.3.wav,4.1.1.wav,1,82,1,f,Seewa
83,1.1.3.wav,3.1.5.wav,3.1.3.wav,1,83,1,f,Seewa
84,1.1.2.wav,3.1.4.wav,3.1.2.wav,1,84,1,f,Seewa
