,A,B,X,flip_order,order,repeats,response,subject
0,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,0,2,f,Seppu
1,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,1,1,l,Seppu
2,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,2,1,l,Seppu
3,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,3,1,l,Seppu
4,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,4,1,f,Seppu
5,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,5,1,f,Seppu
6,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,6,1,l,Seppu
7,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,7,1,f,Seppu
8,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,8,1,l,Seppu
9,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,9,1,f,Seppu
10,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,10,2,l,Seppu
11,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,11,1,f,Seppu
12,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,12,1,f,Seppu
13,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,13,1,l,Seppu
14,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,14,4,f,Seppu
15,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,15,1,l,Seppu
16,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,16,1,f,Seppu
17,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,17,1,l,Seppu
18,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,18,1,l,Seppu
19,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,19,1,f,Seppu
20,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,20,1,f,Seppu
21,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,21,1,f,Seppu
22,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,22,1,f,Seppu
23,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,23,1,f,Seppu
24,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,24,1,f,Seppu
25,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,25,1,f,Seppu
26,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,26,1,l,Seppu
27,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,27,1,l,Seppu
28,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,28,1,l,Seppu
29,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,29,1,l,Seppu
30,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,30,2,l,Seppu
31,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,31,1,l,Seppu
32,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,32,1,l,Seppu
33,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,33,1,f,Seppu
34,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,34,1,f,Seppu
35,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,35,1,l,Seppu
36,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,36,2,f,Seppu
37,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,37,1,f,Seppu
38,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,38,1,l,Seppu
39,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,39,1,f,Seppu
40,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,40,1,l,Seppu
41,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,41,1,l,Seppu
42,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,42,2,f,Seppu
43,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,43,1,f,Seppu
44,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,44,1,l,Seppu
45,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,45,1,f,Seppu
46,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,46,1,f,Seppu
