,A,B,X,flip_order,order,repeats,response,subject
0,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,0,2,f,Sinej
1,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,1,1,l,Sinej
2,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,2,1,f,Sinej
3,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,3,1,l,Sinej
4,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,4,1,f,Sinej
5,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,5,1,l,Sinej
6,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,6,1,f,Sinej
7,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,7,1,l,Sinej
8,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,8,1,f,Sinej
9,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,9,1,l,Sinej
10,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,10,1,f,Sinej
11,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,11,1,l,Sinej
12,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,12,1,f,Sinej
13,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,13,1,l,Sinej
14,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,14,1,f,Sinej
15,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,15,1,l,Sinej
16,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,16,1,f,Sinej
17,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,17,1,l,Sinej
18,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,18,1,f,Sinej
19,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,19,3,l,Sinej
20,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,20,1,f,Sinej
21,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,21,1,l,Sinej
22,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,22,1,f,Sinej
23,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,23,1,l,Sinej
24,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,24,1,f,Sinej
25,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,25,1,l,Sinej
26,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,26,1,f,Sinej
27,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,27,1,l,Sinej
28,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,28,1,f,Sinej
29,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,29,1,l,Sinej
30,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,30,1,f,Sinej
31,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,31,1,l,Sinej
32,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,32,1,f,Sinej
33,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,33,1,l,Sinej
34,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,34,1,f,Sinej
35,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,35,1,l,Sinej
36,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,36,1,f,Sinej
37,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,37,1,l,Sinej
38,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,38,1,f,Sinej
39,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,39,1,l,Sinej
40,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,40,1,f,Sinej
41,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,41,1,l,Sinej
42,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,42,1,f,Sinej
43,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,43,1,l,Sinej
44,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,44,1,f,Sinej
45,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,45,1,l,Sinej
46,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,46,1,f,Sinej
47,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,47,1,l,Sinej
48,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,48,1,f,Sinej
49,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,49,1,f,Sinej
50,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,50,1,l,Sinej
51,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,51,1,f,Sinej
52,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,52,2,f,Sinej
53,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,53,1,l,Sinej
54,4.2.3.wav,3.2.5.wav,4.2.5.wav,0,54,2,f,Sinej
55,3.1.1.wav,4.1.3.wav,4.1.1.wav,1,55,1,l,Sinej
56,3.2.2.wav,1.2.4.wav,3.2.4.wav,0,56,2,l,Sinej
57,1.2.1.wav,3.2.3.wav,3.2.1.wav,0,57,1,f,Sinej
