,A,B,X,flip_order,order,repeats,response,subject
0,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,0,3,l,Sinku
1,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,1,3,f,Sinku
2,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,2,3,l,Sinku
3,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,3,7,l,Sinku
4,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,4,5,f,Sinku
5,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,5,2,f,Sinku
6,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,6,3,l,Sinku
7,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,7,3,l,Sinku
8,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,8,3,f,Sinku
9,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,9,1,f,Sinku
10,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,10,1,f,Sinku
11,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,11,1,f,Sinku
12,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,12,1,f,Sinku
13,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,13,1,f,Sinku
14,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,14,1,f,Sinku
15,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,15,2,l,Sinku
16,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,16,7,f,Sinku
17,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,17,1,f,Sinku
18,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,18,1,f,Sinku
19,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,19,1,f,Sinku
20,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,20,1,f,Sinku
21,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,21,2,f,Sinku
22,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,22,1,f,Sinku
23,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,23,1,f,Sinku
24,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,24,1,f,Sinku
25,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,25,1,f,Sinku
26,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,26,1,f,Sinku
27,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,27,6,f,Sinku
28,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,28,4,f,Sinku
29,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,29,1,f,Sinku
30,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,30,1,f,Sinku
31,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,31,1,f,Sinku
32,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,32,1,f,Sinku
33,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,33,1,f,Sinku
34,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,34,2,f,Sinku
35,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,35,1,f,Sinku
36,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,36,1,f,Sinku
37,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,37,1,f,Sinku
38,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,38,1,f,Sinku
39,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,39,1,f,Sinku
40,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,40,1,f,Sinku
41,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,41,1,f,Sinku
42,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,42,1,f,Sinku
43,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,43,1,f,Sinku
44,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,44,1,f,Sinku
45,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,45,1,f,Sinku
46,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,46,1,f,Sinku
47,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,47,1,f,Sinku
48,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,48,1,f,Sinku
49,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,49,1,f,Sinku
50,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,50,1,f,Sinku
51,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,51,1,f,Sinku
52,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,52,1,f,Sinku
53,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,53,1,f,Sinku
54,2.1.2.wav,2.2.4.wav,2.2.2.wav,1,54,1,f,Sinku
55,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,55,1,f,Sinku
56,4.2.2.wav,2.2.4.wav,4.2.4.wav,1,56,1,f,Sinku
57,4.2.3.wav,2.2.5.wav,2.2.3.wav,1,57,1,f,Sinku
58,3.1.3.wav,1.1.5.wav,3.1.5.wav,1,58,1,f,Sinku
59,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,59,1,f,Sinku
60,4.1.3.wav,4.2.5.wav,4.2.3.wav,0,60,1,f,Sinku
61,4.1.3.wav,3.1.5.wav,3.1.3.wav,1,61,1,f,Sinku
62,3.1.1.wav,1.1.3.wav,3.1.3.wav,0,62,1,f,Sinku
63,4.1.1.wav,4.2.3.wav,4.2.1.wav,0,63,1,f,Sinku
64,3.2.2.wav,1.2.4.wav,1.2.2.wav,0,64,1,f,Sinku
65,2.2.3.wav,4.2.5.wav,2.2.5.wav,0,65,2,f,Sinku
66,3.1.2.wav,3.2.4.wav,3.2.2.wav,1,66,1,f,Sinku
67,1.2.1.wav,2.2.3.wav,1.2.3.wav,0,67,1,f,Sinku
68,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,68,1,f,Sinku
69,3.2.3.wav,4.2.5.wav,3.2.5.wav,1,69,1,f,Sinku
70,4.1.1.wav,2.1.3.wav,2.1.1.wav,1,70,1,f,Sinku
71,2.2.2.wav,2.1.4.wav,2.2.4.wav,1,71,1,f,Sinku
72,2.2.1.wav,2.1.3.wav,2.2.3.wav,0,72,1,f,Sinku
73,2.2.1.wav,1.2.3.wav,2.2.3.wav,0,73,1,f,Sinku
74,1.2.3.wav,3.2.5.wav,1.2.5.wav,0,74,1,f,Sinku
75,3.2.2.wav,1.2.4.wav,3.2.4.wav,0,75,1,f,Sinku
76,3.2.3.wav,3.1.5.wav,3.2.5.wav,1,76,1,f,Sinku
