,A,B,X,flip_order,order,repeats,response,subject
0,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,0,4,l,Sokja
1,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,1,2,l,Sokja
2,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,2,1,l,Sokja
3,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,3,2,l,Sokja
4,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,4,1,l,Sokja
5,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,5,1,l,Sokja
6,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,6,1,l,Sokja
7,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,7,1,l,Sokja
8,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,8,1,l,Sokja
9,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,9,1,l,Sokja
10,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,10,1,l,Sokja
11,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,11,1,l,Sokja
12,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,12,1,l,Sokja
13,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,13,1,l,Sokja
14,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,14,1,l,Sokja
15,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,15,1,l,Sokja
16,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,16,1,l,Sokja
17,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,17,1,l,Sokja
18,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,18,1,l,Sokja
19,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,19,1,l,Sokja
20,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,20,1,l,Sokja
21,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,21,1,l,Sokja
22,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,22,1,l,Sokja
23,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,23,1,l,Sokja
24,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,24,1,f,Sokja
25,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,25,1,l,Sokja
26,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,26,1,l,Sokja
27,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,27,1,l,Sokja
28,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,28,1,l,Sokja
29,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,29,1,l,Sokja
30,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,30,1,f,Sokja
31,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,31,1,l,Sokja
32,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,32,1,l,Sokja
33,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,33,1,l,Sokja
34,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,34,1,l,Sokja
35,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,35,1,l,Sokja
36,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,36,1,l,Sokja
37,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,37,1,l,Sokja
38,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,38,1,l,Sokja
39,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,39,1,l,Sokja
40,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,40,1,l,Sokja
