,A,B,X,flip_order,order,repeats,response,subject
0,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,0,5,f,Sokkree
1,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,1,2,f,Sokkree
2,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,2,1,f,Sokkree
3,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,3,3,l,Sokkree
4,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,4,2,f,Sokkree
5,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,5,1,f,Sokkree
6,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,6,1,f,Sokkree
7,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,7,2,f,Sokkree
8,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,8,1,f,Sokkree
9,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,9,2,l,Sokkree
10,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,10,2,f,Sokkree
11,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,11,2,l,Sokkree
12,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,12,2,f,Sokkree
13,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,13,4,f,Sokkree
14,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,14,1,l,Sokkree
15,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,15,3,f,Sokkree
16,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,16,2,f,Sokkree
17,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,17,1,l,Sokkree
18,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,18,2,f,Sokkree
19,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,19,4,f,Sokkree
20,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,20,4,l,Sokkree
21,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,21,1,l,Sokkree
22,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,22,2,l,Sokkree
23,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,23,2,f,Sokkree
24,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,24,2,l,Sokkree
25,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,25,2,l,Sokkree
26,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,26,1,f,Sokkree
27,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,27,1,l,Sokkree
28,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,28,2,l,Sokkree
29,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,29,2,f,Sokkree
30,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,30,2,f,Sokkree
31,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,31,1,f,Sokkree
32,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,32,2,f,Sokkree
33,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,33,1,l,Sokkree
34,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,34,2,f,Sokkree
35,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,35,2,f,Sokkree
36,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,36,2,f,Sokkree
37,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,37,1,f,Sokkree
38,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,38,2,f,Sokkree
39,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,39,2,l,Sokkree
40,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,40,2,l,Sokkree
41,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,41,1,f,Sokkree
