,A,B,X,flip_order,order,repeats,response,subject
0,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,0,3,f,Tenko
1,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,1,3,f,Tenko
2,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,2,3,l,Tenko
3,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,3,2,l,Tenko
4,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,4,1,l,Tenko
5,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,5,1,f,Tenko
6,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,6,1,l,Tenko
7,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,7,1,l,Tenko
8,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,8,1,f,Tenko
9,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,9,1,l,Tenko
10,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,10,1,l,Tenko
11,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,11,1,f,Tenko
12,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,12,1,l,Tenko
13,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,13,1,f,Tenko
14,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,14,1,l,Tenko
15,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,15,1,f,Tenko
16,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,16,1,l,Tenko
17,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,17,1,l,Tenko
18,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,18,1,f,Tenko
19,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,19,1,f,Tenko
20,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,20,1,l,Tenko
21,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,21,2,f,Tenko
22,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,22,1,l,Tenko
23,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,23,1,l,Tenko
24,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,24,1,f,Tenko
25,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,25,1,l,Tenko
26,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,26,1,l,Tenko
27,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,27,1,f,Tenko
28,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,28,1,l,Tenko
29,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,29,1,l,Tenko
30,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,30,1,f,Tenko
31,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,31,1,l,Tenko
32,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,32,1,l,Tenko
33,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,33,1,f,Tenko
34,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,34,1,f,Tenko
35,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,35,1,l,Tenko
36,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,36,1,l,Tenko
37,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,37,1,f,Tenko
38,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,38,1,l,Tenko
39,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,39,1,l,Tenko
40,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,40,1,f,Tenko
41,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,41,1,l,Tenko
42,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,42,1,f,Tenko
43,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,43,1,f,Tenko
44,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,44,1,l,Tenko
45,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,45,1,f,Tenko
46,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,46,1,l,Tenko
47,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,47,1,f,Tenko
48,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,48,1,l,Tenko
49,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,49,1,l,Tenko
50,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,50,1,l,Tenko
51,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,51,1,l,Tenko
52,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,52,2,l,Tenko
53,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,53,1,l,Tenko
54,2.1.1.wav,1.1.3.wav,2.1.3.wav,1,54,1,l,Tenko
55,1.1.1.wav,1.2.3.wav,1.1.3.wav,1,55,1,f,Tenko
56,1.1.2.wav,3.1.4.wav,1.1.4.wav,0,56,1,l,Tenko
57,4.1.2.wav,4.2.4.wav,4.1.4.wav,0,57,1,l,Tenko
58,3.2.2.wav,1.2.4.wav,3.2.4.wav,1,58,2,l,Tenko
59,3.2.1.wav,1.2.3.wav,3.2.3.wav,1,59,1,f,Tenko
60,4.2.1.wav,3.2.3.wav,3.2.1.wav,0,60,1,l,Tenko
61,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,61,1,f,Tenko
62,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,62,1,f,Tenko
63,2.2.3.wav,2.1.5.wav,2.2.5.wav,0,63,1,l,Tenko
64,4.2.3.wav,2.2.5.wav,4.2.5.wav,0,64,1,l,Tenko
65,4.2.3.wav,3.2.5.wav,3.2.3.wav,0,65,1,f,Tenko
66,2.1.1.wav,4.1.3.wav,2.1.3.wav,0,66,1,l,Tenko
67,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,67,1,l,Tenko
68,2.2.2.wav,1.2.4.wav,1.2.2.wav,1,68,1,l,Tenko
69,4.2.2.wav,4.1.4.wav,4.2.4.wav,1,69,1,f,Tenko
70,3.1.3.wav,4.1.5.wav,4.1.3.wav,0,70,1,f,Tenko
71,1.1.2.wav,1.2.4.wav,1.2.2.wav,1,71,1,l,Tenko
72,3.1.1.wav,1.1.3.wav,1.1.1.wav,1,72,1,l,Tenko
73,4.1.1.wav,2.1.3.wav,2.1.1.wav,0,73,1,l,Tenko
74,4.1.1.wav,4.2.3.wav,4.2.1.wav,1,74,1,l,Tenko
75,1.2.3.wav,3.2.5.wav,1.2.5.wav,1,75,1,f,Tenko
76,4.1.3.wav,4.2.5.wav,4.1.5.wav,0,76,1,f,Tenko
77,3.1.3.wav,4.1.5.wav,3.1.5.wav,0,77,1,l,Tenko
78,1.2.3.wav,3.2.5.wav,3.2.3.wav,0,78,1,l,Tenko
79,3.1.3.wav,3.2.5.wav,3.1.5.wav,0,79,1,f,Tenko
80,3.2.2.wav,3.1.4.wav,3.2.4.wav,0,80,1,l,Tenko
81,2.2.1.wav,4.2.3.wav,2.2.3.wav,0,81,1,f,Tenko
82,2.1.2.wav,1.1.4.wav,2.1.4.wav,0,82,1,l,Tenko
83,4.1.2.wav,4.2.4.wav,4.2.2.wav,1,83,1,l,Tenko
84,2.1.2.wav,2.2.4.wav,2.2.2.wav,1,84,1,l,Tenko
85,2.2.2.wav,2.1.4.wav,2.2.4.wav,0,85,1,f,Tenko
86,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,86,1,l,Tenko
87,2.2.2.wav,4.2.4.wav,2.2.4.wav,1,87,1,l,Tenko
88,2.1.3.wav,2.2.5.wav,2.1.5.wav,0,88,1,l,Tenko
89,1.1.2.wav,3.1.4.wav,3.1.2.wav,0,89,1,f,Tenko
90,1.2.3.wav,1.1.5.wav,1.1.3.wav,0,90,1,l,Tenko
