,A,B,X,flip_order,order,repeats,response,subject
0,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,0,2,f,Tenko2
1,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,1,3,l,Tenko2
2,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,2,1,l,Tenko2
3,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,3,2,f,Tenko2
4,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,4,1,f,Tenko2
5,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,5,1,f,Tenko2
6,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,6,1,f,Tenko2
7,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,7,1,f,Tenko2
8,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,8,1,l,Tenko2
9,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,9,1,f,Tenko2
10,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,10,1,f,Tenko2
11,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,11,1,f,Tenko2
12,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,12,1,l,Tenko2
13,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,13,1,f,Tenko2
14,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,14,1,l,Tenko2
15,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,15,1,f,Tenko2
16,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,16,1,f,Tenko2
17,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,17,1,f,Tenko2
18,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,18,1,l,Tenko2
19,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,19,1,f,Tenko2
20,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,20,1,f,Tenko2
21,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,21,1,f,Tenko2
22,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,22,1,f,Tenko2
23,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,23,1,f,Tenko2
24,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,24,1,f,Tenko2
25,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,25,1,l,Tenko2
26,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,26,1,f,Tenko2
27,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,27,1,f,Tenko2
28,1.1.2.wav,1.1.4.wav,1.1.4.wav,0,28,1,f,Tenko2
29,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,29,1,f,Tenko2
30,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,30,1,f,Tenko2
31,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,31,1,f,Tenko2
32,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,32,1,l,Tenko2
33,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,33,1,f,Tenko2
