,A,B,X,flip_order,order,repeats,response,subject
0,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,0,1,l,Tepakriti
1,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,1,2,l,Tepakriti
2,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,2,1,f,Tepakriti
3,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,3,2,l,Tepakriti
4,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,4,2,l,Tepakriti
5,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,5,2,l,Tepakriti
6,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,6,1,f,Tepakriti
7,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,7,1,l,Tepakriti
8,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,8,4,f,Tepakriti
9,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,9,1,f,Tepakriti
10,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,10,1,l,Tepakriti
11,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,11,1,l,Tepakriti
12,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,12,1,f,Tepakriti
13,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,13,1,f,Tepakriti
14,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,14,1,f,Tepakriti
15,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,15,1,f,Tepakriti
16,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,16,1,f,Tepakriti
17,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,17,1,f,Tepakriti
18,2.1.3.wav,2.1.5.wav,2.1.5.wav,1,18,1,f,Tepakriti
19,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,19,2,f,Tepakriti
20,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,20,1,l,Tepakriti
21,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,21,1,l,Tepakriti
22,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,22,1,f,Tepakriti
23,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,23,2,f,Tepakriti
24,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,24,1,l,Tepakriti
25,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,25,2,f,Tepakriti
26,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,26,1,l,Tepakriti
27,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,27,2,f,Tepakriti
28,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,28,2,f,Tepakriti
29,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,29,1,l,Tepakriti
30,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,30,1,l,Tepakriti
31,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,31,2,f,Tepakriti
32,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,32,1,l,Tepakriti
33,3.1.2.wav,3.1.4.wav,3.1.2.wav,1,33,1,l,Tepakriti
34,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,34,2,l,Tepakriti
35,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,35,2,f,Tepakriti
36,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,36,1,f,Tepakriti
37,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,37,1,l,Tepakriti
38,2.1.1.wav,2.1.3.wav,2.1.3.wav,0,38,1,f,Tepakriti
39,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,39,1,l,Tepakriti
40,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,40,1,f,Tepakriti
41,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,41,2,f,Tepakriti
42,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,42,2,l,Tepakriti
43,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,43,1,f,Tepakriti
44,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,44,1,f,Tepakriti
45,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,45,1,l,Tepakriti
46,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,46,1,l,Tepakriti
47,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,47,1,l,Tepakriti
48,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,48,2,f,Tepakriti
49,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,49,1,l,Tepakriti
50,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,50,2,l,Tepakriti
51,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,51,1,f,Tepakriti
52,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,52,1,l,Tepakriti
53,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,53,1,f,Tepakriti
54,2.1.3.wav,4.1.5.wav,4.1.3.wav,1,54,1,f,Tepakriti
55,4.2.1.wav,3.2.3.wav,4.2.3.wav,0,55,2,l,Tepakriti
56,2.1.2.wav,1.1.4.wav,2.1.4.wav,1,56,2,l,Tepakriti
57,4.1.1.wav,3.1.3.wav,4.1.3.wav,0,57,1,f,Tepakriti
58,3.1.3.wav,4.1.5.wav,4.1.3.wav,0,58,2,f,Tepakriti
59,1.2.1.wav,2.2.3.wav,1.2.3.wav,0,59,1,l,Tepakriti
60,1.2.3.wav,1.1.5.wav,1.2.5.wav,1,60,2,f,Tepakriti
61,1.2.1.wav,3.2.3.wav,1.2.3.wav,0,61,1,f,Tepakriti
62,2.2.1.wav,2.1.3.wav,2.2.3.wav,1,62,1,f,Tepakriti
63,2.1.3.wav,4.1.5.wav,2.1.5.wav,1,63,1,l,Tepakriti
64,4.1.1.wav,3.1.3.wav,3.1.1.wav,0,64,1,f,Tepakriti
65,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,65,2,l,Tepakriti
66,1.2.2.wav,2.2.4.wav,1.2.4.wav,1,66,1,f,Tepakriti
67,3.2.1.wav,4.2.3.wav,3.2.3.wav,1,67,2,f,Tepakriti
68,2.1.2.wav,2.2.4.wav,2.1.4.wav,1,68,1,f,Tepakriti
69,2.1.1.wav,2.2.3.wav,2.1.3.wav,1,69,1,f,Tepakriti
70,1.2.1.wav,2.2.3.wav,2.2.1.wav,1,70,1,l,Tepakriti
71,4.2.3.wav,3.2.5.wav,4.2.5.wav,0,71,2,f,Tepakriti
72,4.2.1.wav,4.1.3.wav,4.2.3.wav,1,72,2,f,Tepakriti
73,3.2.1.wav,1.2.3.wav,1.2.1.wav,0,73,1,l,Tepakriti
74,4.2.1.wav,4.1.3.wav,4.1.1.wav,1,74,2,l,Tepakriti
75,4.1.2.wav,3.1.4.wav,3.1.2.wav,0,75,2,f,Tepakriti
76,3.2.1.wav,3.1.3.wav,3.2.3.wav,0,76,2,l,Tepakriti
77,1.1.2.wav,1.2.4.wav,1.1.4.wav,0,77,2,f,Tepakriti
