,A,B,X,flip_order,order,repeats,response,subject
0,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,0,3,l,Tepipjo
1,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,1,1,f,Tepipjo
2,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,2,1,l,Tepipjo
3,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,3,1,f,Tepipjo
4,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,4,1,l,Tepipjo
5,1.1.2.wav,1.1.4.wav,1.1.2.wav,1,5,1,l,Tepipjo
6,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,6,1,f,Tepipjo
7,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,7,1,l,Tepipjo
8,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,8,1,f,Tepipjo
9,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,9,1,l,Tepipjo
10,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,10,1,f,Tepipjo
11,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,11,1,l,Tepipjo
12,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,12,1,f,Tepipjo
13,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,13,1,l,Tepipjo
14,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,14,1,f,Tepipjo
15,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,15,1,l,Tepipjo
16,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,16,1,f,Tepipjo
17,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,17,1,l,Tepipjo
18,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,18,1,f,Tepipjo
19,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,19,1,l,Tepipjo
20,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,20,1,f,Tepipjo
21,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,21,1,l,Tepipjo
22,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,22,1,f,Tepipjo
23,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,23,1,l,Tepipjo
24,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,24,1,l,Tepipjo
25,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,25,1,f,Tepipjo
26,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,26,1,l,Tepipjo
27,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,27,1,f,Tepipjo
28,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,28,1,l,Tepipjo
29,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,29,1,f,Tepipjo
30,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,30,1,l,Tepipjo
31,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,31,1,f,Tepipjo
32,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,32,1,l,Tepipjo
33,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,33,1,f,Tepipjo
34,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,34,1,l,Tepipjo
35,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,35,1,f,Tepipjo
36,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,36,1,l,Tepipjo
37,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,37,1,f,Tepipjo
38,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,38,1,l,Tepipjo
39,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,39,1,l,Tepipjo
40,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,40,1,f,Tepipjo
41,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,41,1,f,Tepipjo
42,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,42,1,f,Tepipjo
43,2.1.3.wav,2.1.5.wav,2.1.3.wav,1,43,1,l,Tepipjo
44,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,44,1,l,Tepipjo
45,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,45,1,l,Tepipjo
46,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,46,1,f,Tepipjo
47,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,47,1,f,Tepipjo
48,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,48,1,l,Tepipjo
49,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,49,1,l,Tepipjo
50,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,50,1,f,Tepipjo
51,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,51,1,f,Tepipjo
52,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,52,1,l,Tepipjo
53,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,53,1,l,Tepipjo
54,1.1.2.wav,1.2.4.wav,1.1.4.wav,0,54,1,l,Tepipjo
