,A,B,X,flip_order,order,repeats,response,subject
0,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,0,4,f,Tetata
1,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,1,2,f,Tetata
2,3.2.1.wav,3.2.3.wav,3.2.1.wav,1,2,1,f,Tetata
3,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,3,2,l,Tetata
4,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,4,1,f,Tetata
5,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,5,1,l,Tetata
6,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,6,1,f,Tetata
7,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,7,1,f,Tetata
8,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,8,1,l,Tetata
9,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,9,1,f,Tetata
10,5.2.1.wav,5.2.3.wav,5.2.3.wav,0,10,1,l,Tetata
11,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,11,1,f,Tetata
12,4.1.1.wav,4.1.3.wav,4.1.1.wav,1,12,1,l,Tetata
13,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,13,1,l,Tetata
14,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,14,1,f,Tetata
15,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,15,1,f,Tetata
16,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,16,1,l,Tetata
17,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,17,1,l,Tetata
18,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,18,1,f,Tetata
19,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,19,1,l,Tetata
20,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,20,1,l,Tetata
21,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,21,1,f,Tetata
22,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,22,1,l,Tetata
23,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,23,1,l,Tetata
24,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,24,1,f,Tetata
25,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,25,1,l,Tetata
26,2.2.3.wav,2.2.5.wav,2.2.5.wav,0,26,1,l,Tetata
27,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,27,1,l,Tetata
28,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,28,1,f,Tetata
29,4.1.3.wav,4.1.5.wav,4.1.5.wav,0,29,1,f,Tetata
30,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,30,1,l,Tetata
31,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,31,1,f,Tetata
32,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,32,1,f,Tetata
33,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,33,1,l,Tetata
34,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,34,1,l,Tetata
35,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,35,1,l,Tetata
36,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,36,1,f,Tetata
37,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,37,1,l,Tetata
38,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,38,1,l,Tetata
39,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,39,1,l,Tetata
40,2.1.1.wav,2.1.3.wav,2.1.1.wav,1,40,1,f,Tetata
41,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,41,1,f,Tetata
42,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,42,1,f,Tetata
43,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,43,1,f,Tetata
44,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,44,1,l,Tetata
45,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,45,1,f,Tetata
46,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,46,1,l,Tetata
47,2.2.1.wav,2.2.3.wav,2.2.1.wav,0,47,1,f,Tetata
48,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,48,1,l,Tetata
49,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,49,1,l,Tetata
50,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,50,1,l,Tetata
51,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,51,1,f,Tetata
52,4.2.3.wav,4.2.5.wav,4.2.5.wav,1,52,1,l,Tetata
53,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,53,1,l,Tetata
54,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,54,1,l,Tetata
55,2.1.2.wav,1.1.4.wav,1.1.2.wav,1,55,1,l,Tetata
56,2.2.2.wav,1.2.4.wav,1.2.2.wav,1,56,1,l,Tetata
57,4.2.3.wav,2.2.5.wav,4.2.5.wav,0,57,1,f,Tetata
58,4.1.1.wav,3.1.3.wav,3.1.1.wav,1,58,1,l,Tetata
59,1.2.3.wav,2.2.5.wav,1.2.5.wav,0,59,1,l,Tetata
60,1.2.2.wav,1.1.4.wav,1.2.4.wav,0,60,1,f,Tetata
61,3.2.1.wav,4.2.3.wav,4.2.1.wav,1,61,1,l,Tetata
62,2.2.2.wav,4.2.4.wav,2.2.4.wav,1,62,1,l,Tetata
63,1.1.2.wav,2.1.4.wav,1.1.4.wav,1,63,1,f,Tetata
64,1.2.1.wav,1.1.3.wav,1.1.1.wav,1,64,1,f,Tetata
65,3.1.2.wav,1.1.4.wav,3.1.4.wav,0,65,1,l,Tetata
66,1.1.3.wav,1.2.5.wav,1.2.3.wav,1,66,1,f,Tetata
67,1.1.2.wav,3.1.4.wav,3.1.2.wav,1,67,1,f,Tetata
68,3.2.2.wav,3.1.4.wav,3.1.2.wav,1,68,1,l,Tetata
69,3.2.1.wav,1.2.3.wav,1.2.1.wav,0,69,1,f,Tetata
70,2.2.2.wav,2.1.4.wav,2.2.4.wav,0,70,1,f,Tetata
71,3.1.2.wav,1.1.4.wav,1.1.2.wav,1,71,1,l,Tetata
72,4.1.2.wav,4.2.4.wav,4.1.4.wav,0,72,1,l,Tetata
73,2.1.1.wav,1.1.3.wav,1.1.1.wav,1,73,1,l,Tetata
74,4.2.2.wav,4.1.4.wav,4.1.2.wav,1,74,1,l,Tetata
75,4.2.1.wav,4.1.3.wav,4.1.1.wav,1,75,1,l,Tetata
76,3.1.2.wav,3.2.4.wav,3.2.2.wav,0,76,1,l,Tetata
77,2.1.3.wav,4.1.5.wav,2.1.5.wav,1,77,1,f,Tetata
78,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,78,1,f,Tetata
79,1.1.2.wav,3.1.4.wav,1.1.4.wav,1,79,1,f,Tetata
80,1.2.1.wav,1.1.3.wav,1.2.3.wav,0,80,1,f,Tetata
81,3.2.1.wav,3.1.3.wav,3.2.3.wav,0,81,1,l,Tetata
82,4.1.3.wav,4.2.5.wav,4.1.5.wav,1,82,1,l,Tetata
83,4.1.2.wav,3.1.4.wav,4.1.4.wav,0,83,1,l,Tetata
84,3.2.3.wav,4.2.5.wav,3.2.5.wav,0,84,1,f,Tetata
85,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,85,1,f,Tetata
86,4.2.3.wav,3.2.5.wav,4.2.5.wav,0,86,1,f,Tetata
87,3.1.3.wav,1.1.5.wav,3.1.5.wav,0,87,1,f,Tetata
88,4.1.2.wav,2.1.4.wav,4.1.4.wav,0,88,1,f,Tetata
89,3.1.1.wav,4.1.3.wav,3.1.3.wav,1,89,1,l,Tetata
90,1.1.1.wav,3.1.3.wav,1.1.3.wav,1,90,1,f,Tetata
91,1.2.3.wav,1.1.5.wav,1.2.5.wav,0,91,1,l,Tetata
92,1.2.2.wav,2.2.4.wav,2.2.2.wav,0,92,1,f,Tetata
93,4.2.2.wav,3.2.4.wav,3.2.2.wav,0,93,1,l,Tetata
94,3.2.3.wav,1.2.5.wav,3.2.5.wav,0,94,1,f,Tetata
95,1.1.2.wav,1.2.4.wav,1.2.2.wav,1,95,1,f,Tetata
96,1.1.1.wav,1.2.3.wav,1.1.3.wav,1,96,1,f,Tetata
97,1.2.2.wav,1.1.4.wav,1.1.2.wav,1,97,1,f,Tetata
98,4.2.1.wav,4.1.3.wav,4.2.3.wav,1,98,1,l,Tetata
99,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,99,1,l,Tetata
100,4.1.3.wav,3.1.5.wav,3.1.3.wav,0,100,1,l,Tetata
101,4.2.2.wav,3.2.4.wav,4.2.4.wav,1,101,1,l,Tetata
102,2.1.2.wav,1.1.4.wav,2.1.4.wav,1,102,1,f,Tetata
103,1.2.2.wav,3.2.4.wav,3.2.2.wav,0,103,1,l,Tetata
104,1.1.2.wav,2.1.4.wav,2.1.2.wav,0,104,1,f,Tetata
105,1.2.1.wav,3.2.3.wav,1.2.3.wav,1,105,1,f,Tetata
106,4.2.3.wav,2.2.5.wav,2.2.3.wav,0,106,1,f,Tetata
107,2.1.1.wav,4.1.3.wav,2.1.3.wav,0,107,1,l,Tetata
108,2.2.2.wav,1.2.4.wav,2.2.4.wav,0,108,1,f,Tetata
109,4.1.1.wav,2.1.3.wav,4.1.3.wav,1,109,1,l,Tetata
110,3.1.2.wav,3.2.4.wav,3.1.4.wav,0,110,1,l,Tetata
111,3.2.3.wav,1.2.5.wav,1.2.3.wav,0,111,1,f,Tetata
112,3.1.2.wav,4.1.4.wav,4.1.2.wav,1,112,1,l,Tetata
113,4.2.3.wav,4.1.5.wav,4.1.3.wav,0,113,1,l,Tetata
114,2.2.3.wav,4.2.5.wav,4.2.3.wav,0,114,1,f,Tetata
115,4.2.1.wav,2.2.3.wav,2.2.1.wav,0,115,2,f,Tetata
116,4.2.1.wav,3.2.3.wav,3.2.1.wav,1,116,1,l,Tetata
117,1.2.3.wav,1.1.5.wav,1.1.3.wav,1,117,1,f,Tetata
118,4.2.3.wav,4.1.5.wav,4.2.5.wav,0,118,1,l,Tetata
119,4.1.2.wav,4.2.4.wav,4.2.2.wav,0,119,1,l,Tetata
120,2.1.2.wav,2.2.4.wav,2.1.4.wav,1,120,1,f,Tetata
121,4.1.3.wav,4.2.5.wav,4.2.3.wav,0,121,1,f,Tetata
122,2.2.1.wav,2.1.3.wav,2.2.3.wav,1,122,1,f,Tetata
123,4.1.2.wav,2.1.4.wav,2.1.2.wav,1,123,1,l,Tetata
124,3.2.2.wav,1.2.4.wav,3.2.4.wav,1,124,1,l,Tetata
125,4.1.2.wav,3.1.4.wav,3.1.2.wav,0,125,1,l,Tetata
