,A,B,X,flip_order,order,repeats,response,subject
0,3.1.3.wav,3.1.5.wav,3.1.3.wav,1,0,4,f,Titikre
1,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,1,2,l,Titikre
2,4.2.2.wav,4.2.4.wav,4.2.2.wav,1,2,2,l,Titikre
3,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,3,3,f,Titikre
4,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,4,1,l,Titikre
5,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,5,1,f,Titikre
6,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,6,1,l,Titikre
7,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,7,1,l,Titikre
8,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,8,1,l,Titikre
9,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,9,2,l,Titikre
10,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,10,1,l,Titikre
11,2.2.2.wav,2.2.4.wav,2.2.4.wav,1,11,1,l,Titikre
12,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,12,1,l,Titikre
13,5.2.3.wav,5.2.5.wav,5.2.5.wav,0,13,1,l,Titikre
14,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,14,1,f,Titikre
15,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,15,1,f,Titikre
16,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,16,1,f,Titikre
17,4.1.1.wav,4.1.3.wav,4.1.3.wav,0,17,1,l,Titikre
18,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,18,1,l,Titikre
19,1.1.1.wav,1.1.3.wav,1.1.3.wav,1,19,1,l,Titikre
20,2.2.2.wav,2.2.4.wav,2.2.2.wav,1,20,1,f,Titikre
21,3.2.3.wav,3.2.5.wav,3.2.3.wav,0,21,1,f,Titikre
22,2.1.2.wav,2.1.4.wav,2.1.4.wav,1,22,2,f,Titikre
23,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,23,1,f,Titikre
24,4.2.1.wav,4.2.3.wav,4.2.3.wav,1,24,1,f,Titikre
25,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,25,1,f,Titikre
26,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,26,1,f,Titikre
27,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,27,1,f,Titikre
28,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,28,2,f,Titikre
29,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,29,1,f,Titikre
30,1.2.1.wav,1.2.3.wav,1.2.1.wav,1,30,3,l,Titikre
31,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,31,1,f,Titikre
32,4.2.1.wav,4.2.3.wav,4.2.1.wav,1,32,1,f,Titikre
33,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,33,2,f,Titikre
34,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,34,1,f,Titikre
35,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,35,3,l,Titikre
36,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,36,1,l,Titikre
37,1.1.1.wav,1.1.3.wav,1.1.1.wav,1,37,3,f,Titikre
38,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,38,1,f,Titikre
39,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,39,1,f,Titikre
40,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,40,2,l,Titikre
41,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,41,1,l,Titikre
42,4.1.3.wav,4.1.5.wav,4.1.3.wav,0,42,1,l,Titikre
43,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,43,3,l,Titikre
44,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,44,1,l,Titikre
45,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,45,1,l,Titikre
46,1.1.3.wav,1.1.5.wav,1.1.5.wav,0,46,1,l,Titikre
47,4.1.2.wav,4.1.4.wav,4.1.4.wav,0,47,1,f,Titikre
48,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,48,2,l,Titikre
49,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,49,1,l,Titikre
50,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,50,1,l,Titikre
51,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,51,1,l,Titikre
52,3.2.2.wav,3.2.4.wav,3.2.2.wav,1,52,1,l,Titikre
53,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,53,1,l,Titikre
54,4.2.1.wav,4.1.3.wav,4.1.1.wav,1,54,1,l,Titikre
55,1.1.2.wav,1.2.4.wav,1.2.2.wav,1,55,1,l,Titikre
56,1.1.1.wav,3.1.3.wav,3.1.1.wav,0,56,2,l,Titikre
57,4.1.1.wav,2.1.3.wav,4.1.3.wav,0,57,2,l,Titikre
58,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,58,1,l,Titikre
59,2.2.3.wav,4.2.5.wav,4.2.3.wav,0,59,2,l,Titikre
60,2.1.2.wav,4.1.4.wav,2.1.4.wav,1,60,1,l,Titikre
