,A,B,X,flip_order,order,repeats,response,subject
0,1.2.3.wav,1.2.5.wav,1.2.5.wav,1,0,3,f,Topyturinpja
1,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,1,1,f,Topyturinpja
2,3.1.1.wav,3.1.3.wav,3.1.3.wav,1,2,3,f,Topyturinpja
3,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,3,1,l,Topyturinpja
4,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,4,2,f,Topyturinpja
5,3.1.3.wav,3.1.5.wav,3.1.5.wav,0,5,1,l,Topyturinpja
6,1.2.2.wav,1.2.4.wav,1.2.4.wav,0,6,1,f,Topyturinpja
7,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,7,1,l,Topyturinpja
8,1.1.2.wav,1.1.4.wav,1.1.2.wav,0,8,1,f,Topyturinpja
9,1.1.3.wav,1.1.5.wav,1.1.5.wav,1,9,1,l,Topyturinpja
10,4.1.1.wav,4.1.3.wav,4.1.1.wav,0,10,1,f,Topyturinpja
11,1.2.2.wav,1.2.4.wav,1.2.2.wav,0,11,1,l,Topyturinpja
12,3.1.1.wav,3.1.3.wav,3.1.1.wav,1,12,1,f,Topyturinpja
13,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,13,1,l,Topyturinpja
14,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,14,1,f,Topyturinpja
15,3.2.2.wav,3.2.4.wav,3.2.4.wav,0,15,1,l,Topyturinpja
16,1.2.3.wav,1.2.5.wav,1.2.3.wav,1,16,1,f,Topyturinpja
17,5.2.1.wav,5.2.3.wav,5.2.1.wav,0,17,1,l,Topyturinpja
18,2.1.3.wav,2.1.5.wav,2.1.3.wav,0,18,1,f,Topyturinpja
19,4.1.1.wav,4.1.3.wav,4.1.3.wav,1,19,1,l,Topyturinpja
20,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,20,1,f,Topyturinpja
21,1.1.3.wav,1.1.5.wav,1.1.3.wav,1,21,1,l,Topyturinpja
22,2.1.3.wav,2.1.5.wav,2.1.5.wav,0,22,1,f,Topyturinpja
23,5.2.2.wav,5.2.4.wav,5.2.4.wav,0,23,1,l,Topyturinpja
24,4.2.2.wav,4.2.4.wav,4.2.4.wav,0,24,1,f,Topyturinpja
25,1.2.1.wav,1.2.3.wav,1.2.3.wav,0,25,1,l,Topyturinpja
26,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,26,1,f,Topyturinpja
27,3.2.1.wav,3.2.3.wav,3.2.1.wav,0,27,1,l,Topyturinpja
28,2.2.2.wav,2.2.4.wav,2.2.2.wav,0,28,1,f,Topyturinpja
29,3.2.2.wav,3.2.4.wav,3.2.2.wav,0,29,1,l,Topyturinpja
30,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,30,1,f,Topyturinpja
31,3.1.2.wav,3.1.4.wav,3.1.2.wav,0,31,1,l,Topyturinpja
32,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,32,1,f,Topyturinpja
33,3.1.2.wav,3.1.4.wav,3.1.4.wav,1,33,1,l,Topyturinpja
34,2.2.1.wav,2.2.3.wav,2.2.1.wav,1,34,1,f,Topyturinpja
35,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,35,1,l,Topyturinpja
36,2.1.1.wav,2.1.3.wav,2.1.3.wav,1,36,1,f,Topyturinpja
37,2.2.3.wav,2.2.5.wav,2.2.3.wav,0,37,1,l,Topyturinpja
38,5.2.3.wav,5.2.5.wav,5.2.3.wav,0,38,1,f,Topyturinpja
39,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,39,1,l,Topyturinpja
40,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,40,1,f,Topyturinpja
41,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,41,1,l,Topyturinpja
42,4.2.3.wav,4.2.5.wav,4.2.3.wav,1,42,1,f,Topyturinpja
43,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,43,1,l,Topyturinpja
44,4.1.3.wav,4.1.5.wav,4.1.3.wav,1,44,1,f,Topyturinpja
45,4.2.2.wav,4.2.4.wav,4.2.2.wav,0,45,1,l,Topyturinpja
46,3.2.1.wav,3.2.3.wav,3.2.3.wav,0,46,1,f,Topyturinpja
47,3.2.3.wav,3.2.5.wav,3.2.5.wav,0,47,1,l,Topyturinpja
48,4.2.1.wav,4.2.3.wav,4.2.1.wav,0,48,1,f,Topyturinpja
