,A,B,X,flip_order,order,repeats,response,subject
0,4.2.1.wav,4.2.3.wav,4.2.3.wav,0,0,2,,Tunpo
1,2.2.3.wav,2.2.5.wav,2.2.3.wav,1,1,4,l,Tunpo
2,5.2.2.wav,5.2.4.wav,5.2.2.wav,0,2,1,f,Tunpo
3,1.1.1.wav,1.1.3.wav,1.1.1.wav,0,3,1,l,Tunpo
4,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,4,1,f,Tunpo
5,4.1.2.wav,4.1.4.wav,4.1.2.wav,0,5,1,l,Tunpo
6,3.1.3.wav,3.1.5.wav,3.1.5.wav,1,6,1,f,Tunpo
7,3.2.3.wav,3.2.5.wav,3.2.5.wav,1,7,1,l,Tunpo
8,5.2.2.wav,5.2.4.wav,5.2.4.wav,1,8,1,f,Tunpo
9,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,9,1,l,Tunpo
10,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,10,1,f,Tunpo
11,5.2.1.wav,5.2.3.wav,5.2.1.wav,1,11,1,l,Tunpo
12,4.2.3.wav,4.2.5.wav,4.2.5.wav,0,12,1,f,Tunpo
13,3.2.3.wav,3.2.5.wav,3.2.3.wav,1,13,1,l,Tunpo
14,3.1.3.wav,3.1.5.wav,3.1.3.wav,0,14,1,f,Tunpo
15,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,15,1,l,Tunpo
16,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,16,1,f,Tunpo
17,2.1.2.wav,2.1.4.wav,2.1.2.wav,0,17,1,l,Tunpo
18,2.2.1.wav,2.2.3.wav,2.2.3.wav,0,18,1,f,Tunpo
19,2.1.1.wav,2.1.3.wav,2.1.1.wav,0,19,1,l,Tunpo
20,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,20,1,f,Tunpo
21,4.2.3.wav,4.2.5.wav,4.2.3.wav,0,21,1,l,Tunpo
22,1.2.2.wav,1.2.4.wav,1.2.4.wav,1,22,1,f,Tunpo
23,1.1.3.wav,1.1.5.wav,1.1.3.wav,0,23,1,l,Tunpo
24,3.1.1.wav,3.1.3.wav,3.1.3.wav,0,24,1,l,Tunpo
25,3.2.2.wav,3.2.4.wav,3.2.4.wav,1,25,1,f,Tunpo
