,A,B,X,flip_order,order,repeats,response,subject
0,4.1.3.wav,4.1.5.wav,4.1.5.wav,1,0,7,f,Twaturanpjuu
1,1.2.3.wav,1.2.5.wav,1.2.3.wav,0,1,1,f,Twaturanpjuu
2,2.2.1.wav,2.2.3.wav,2.2.3.wav,1,2,1,l,Twaturanpjuu
3,5.2.3.wav,5.2.5.wav,5.2.3.wav,1,3,1,f,Twaturanpjuu
4,2.2.3.wav,2.2.5.wav,2.2.5.wav,1,4,1,f,Twaturanpjuu
5,1.2.1.wav,1.2.3.wav,1.2.3.wav,1,5,1,l,Twaturanpjuu
6,1.1.1.wav,1.1.3.wav,1.1.3.wav,0,6,1,f,Twaturanpjuu
7,4.2.2.wav,4.2.4.wav,4.2.4.wav,1,7,1,f,Twaturanpjuu
8,1.2.3.wav,1.2.5.wav,1.2.5.wav,0,8,1,l,Twaturanpjuu
9,4.1.2.wav,4.1.4.wav,4.1.2.wav,1,9,1,l,Twaturanpjuu
10,2.1.2.wav,2.1.4.wav,2.1.2.wav,1,10,1,f,Twaturanpjuu
11,1.2.2.wav,1.2.4.wav,1.2.2.wav,1,11,1,f,Twaturanpjuu
12,2.1.2.wav,2.1.4.wav,2.1.4.wav,0,12,1,l,Twaturanpjuu
13,4.1.2.wav,4.1.4.wav,4.1.4.wav,1,13,1,f,Twaturanpjuu
14,1.2.1.wav,1.2.3.wav,1.2.1.wav,0,14,1,l,Twaturanpjuu
15,3.1.2.wav,3.1.4.wav,3.1.4.wav,0,15,1,l,Twaturanpjuu
16,1.1.2.wav,1.1.4.wav,1.1.4.wav,1,16,1,f,Twaturanpjuu
17,3.2.1.wav,3.2.3.wav,3.2.3.wav,1,17,1,f,Twaturanpjuu
18,5.2.3.wav,5.2.5.wav,5.2.5.wav,1,18,1,l,Twaturanpjuu
19,3.1.1.wav,3.1.3.wav,3.1.1.wav,0,19,1,f,Twaturanpjuu
20,5.2.1.wav,5.2.3.wav,5.2.3.wav,1,20,1,l,Twaturanpjuu
21,2.2.2.wav,2.2.4.wav,2.2.4.wav,0,21,1,l,Twaturanpjuu
22,5.2.2.wav,5.2.4.wav,5.2.2.wav,1,22,1,f,Twaturanpjuu
